%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__H0_pdm_soil log__fdd_threshold snow_insulation_k neg_kge        
29       I1         1.130114072    4.382441872    4.775180653    0.7994510876   0.9267890524   2.418285222    2.047124486    1.981851762    0.01454130494  0.8231256576   
30       I1         2.089904313    3.409211214    3.657549695    0.1569038732   0.7468992355   5.451772094    2.992670836    0.7966137695   0.04168912005  0.6377883081   
31       I1         1.3501715      2.898175949    4.356626615    0.2863724592   0.5475262182   4.60317251     1.14470054     2.555939973    0.02037841911  1.312627618    
32       I1         2.475966423    3.990657858    4.331852453    0.3203010297   0.2156810159   5.385674145    3.169229962    1.568887545    0.07652805707  0.5427449654   
33       I1         1.395714096    2.690692715    3.700436094    0.2257529178   0.279182846    2.946877912    2.446361673    0.04473927255  0.1230817213   0.6662566421   
34       I1         1.010710877    3.101491135    3.601796457    0.8970061838   0.8255057529   8.716605469    1.607700684    0.7398747344   0.05340440596  1.127194868    
35       I1         2.010439953    4.365189906    3.880135308    0.8314936832   0.4617170534   8.264963864    1.014254631    2.50089213     0.1461496317   1.50598384     
36       I1         2.499934239    3.589662688    4.595898833    0.7860742005   0.6720925495   8.49266892     1.951766702    0.3854786578   0.09167464767  0.7580704115   
37       I1         1.24206557     3.28918967     4.305896388    0.01761344909  0.6802152624   3.506294406    3.451758046    0.7020075113   0.084953915    0.8199630565   
38       I1         1.572472806    4.487912498    4.696387178    0.9197970148   0.6360603293   1.845591962    2.214667896    1.491576353    0.08747710291  0.6551805044   
39       I1         2.205239601    4.217247809    3.557321009    0.100521532    0.220584488    2.858188311    1.279143474    2.174535434    0.07328917654  1.398908356    
40       I1         2.289566797    3.84290054     3.635914016    0.1869733362   0.3632845532   7.15887715     1.392631896    0.7826805766   0.07528283982  1.244396591    
41       I1         1.23030736     4.263533686    4.63927886     0.588488354    0.07942275114  6.895136135    3.050855004    0.6865103848   0.0117222403   0.4183651317   
42       I1         2.198235502    2.954449181    3.678082803    0.2228202545   0.6438213597   4.331382158    1.868636931    0.8799337468   0.0468703918   0.7529003916   
43       I1         2.451218561    3.172312953    3.893108868    0.1094647061   0.3871736439   7.534625544    2.16818102     2.62411397     0.04067088299  0.6280042984   
44       I1         2.026528753    3.975416801    3.818967023    0.03232881701  0.5424318474   7.027733153    1.982777018    0.9863965661   0.09077338719  0.7118060491   
45       I1         2.440831827    3.099470384    4.021335936    0.9063060078   0.05124040972  9.035347113    2.562418642    1.12458415     0.117131259    0.4744879845   
46       I1         2.328908169    4.144689943    4.813945162    0.4156345467   0.3073840553   2.770534601    2.076376343    2.041426139    0.06318942461  0.606838386    
47       I1         1.448248883    2.975463035    4.893438814    0.2506824008   0.01337837752  3.745943433    3.341203918    0.3034123706   0.1179277192   0.414477274    
48       I1         2.550647614    3.80899276     4.090689889    0.2294786622   0.964709477    5.318249909    1.160345849    1.18745293     0.07975989719  1.383707677    
49       I1         1.419627759    3.084028095    4.998039006    0.9485655461   0.1849948652   7.623043751    2.145568572    1.296136568    0.03486251739  0.8019423596   
50       I1         1.608026369    2.971723814    4.788927283    0.941346387    0.06917312631  6.61131203     3.397554594    0.1090151029   0.0463524289   0.4724129282   
51       I1         2.422002096    3.043160622    3.857231003    0.0903694521   0.9751072237   1.905774743    2.917057999    2.16533961     0.09987689747  0.7296698777   
52       I1         1.36095806     3.137700111    4.48176922     0.4191608878   0.7065786773   5.484717207    2.740645832    2.742672698    0.06981279138  0.5697015347   
53       I1         1.957981942    2.722733063    3.879697913    0.4360845678   0.8857831008   1.63161365     1.658034061    0.369665564    0.1131621315   0.9465035059   
54       I1         1.553596247    3.661522358    4.704250596    0.2810816412   0.5846141512   7.407846489    2.017939144    2.780243909    0.1097975606   0.5175922275   
55       I1         1.648138288    3.594813514    3.811379213    0.4631838113   0.836560833    1.779648702    1.995923004    0.09652809674  0.118128828    0.7433465532   
56       I1         2.146335508    2.574738898    4.965629526    0.4439054183   0.182428131    9.006293536    3.047077183    2.156892577    0.04515721078  0.288794058    
57       I1         1.117570384    4.162871325    4.028535478    0.668142229    0.3700228634   8.569121207    1.056579247    0.9207430378   0.1213222345   1.440844593    
58       I1         2.278140663    3.212217461    4.442445636    0.6022610977   0.8604976298   7.772486148    1.671585959    2.232423802    0.07000582492  0.944987976    
59       I1         1.877159204    2.99803649     4.03340084     0.5788593947   0.1177522271   8.158161341    2.473955203    0.8039866818   0.0508189773   0.5364488445   
60       I1         1.067752423    2.561105748    4.665197178    0.5748104646   0.6746964876   7.899259404    1.252182926    1.623398695    0.1407195202   1.235336897    
61       I1         1.411379407    3.240139305    4.111068327    0.2689075142   0.9684807231   1.177112345    3.40027001     0.7740339214   0.04461754045  0.7837940492   
62       I1         1.83489634     4.453329428    3.869249226    0.4686115266   0.7841465648   8.960502068    2.354394372    2.920097012    0.03607354012  0.6357218898   
63       I1         1.388119901    3.418420474    4.319924556    0.1423160262   0.9190928976   7.978424054    3.153146854    0.4789876932   0.1258272251   0.8456594291   
64       I1         2.250696324    3.356414946    4.749826419    0.6350235686   0.5517586627   8.751343945    1.249022616    2.242356466    0.1245369171   1.42191357     
65       I1         1.900518864    2.50588423     3.515108736    0.3908718751   0.02016356509  5.870925088    1.286243391    2.875222482    0.02434920231  1.331284645    
66       I1         2.34120002     3.772903279    4.68562436     0.3419970723   0.3045696348   9.929435802    2.33548061     1.631392662    0.1196272876   0.3877219064   
67       I1         1.017740675    3.014512467    4.281611945    0.03765811168  0.4161493205   4.365068302    1.857987569    0.6029548605   0.005191392418 0.8087809357   
68       I1         2.015604476    3.3880327      4.817131835    0.5279734897   0.7502055389   7.03016898     1.184937914    1.095379226    0.1410672281   1.457236134    
69       I1         1.740563043    3.916633348    4.90382365     0.1946010934   0.1413102393   2.271706462    2.258941039    2.123645344    0.1452196581   0.3277219599   
70       I1         2.001021493    3.196216434    4.46315077     0.4496035419   0.2717204916   9.688580275    3.243481794    2.019138801    0.1378141402   0.4673119712   
71       I1         2.464753117    3.25755696     3.911383996    0.2366521052   0.10346091     9.273599008    3.111064988    0.03246602149  0.0515984435   0.6489519495   
72       I1         1.487877155    3.028138083    4.204704216    0.4563962076   0.2484786123   3.372111183    3.265983532    2.458816046    0.07577379885  0.5270022343   
73       I1         1.192144908    2.699058015    4.065139219    0.989453186    0.3931840479   6.903781316    1.77103213     1.962334482    0.0005231772681 1.015892677    
74       I1         2.383075573    3.834027363    4.707193604    0.5852573008   0.842247825    2.571069128    1.921338824    0.8881793251   0.006056766757 0.7727635442   
75       I1         1.662142075    4.434247581    3.728471479    0.5167904168   0.7054546704   8.893932136    2.088695206    1.730970536    0.0521437272   0.6553233555   
76       I1         2.679905971    3.561123879    4.661036285    0.1586357021   0.8500911906   8.703049179    1.563766349    0.5462182917   0.009187756947 1.141358551    
77       I1         1.624184373    3.937053065    3.723050679    0.8399888113   0.6084285145   6.175578454    2.812952815    2.340169959    0.001991874515 0.517304761    
78       I1         1.367787761    4.340006431    4.876129323    0.1205591682   0.459415704    8.194513123    3.037056762    2.754979213    0.07385521048  0.6897789109   
79       I1         2.318362611    2.623863145    3.756404799    0.7558619954   0.5953864639   2.34359497     2.910332854    1.869615244    0.02747803096  0.4173488863   
80       I1         1.130485142    3.581341495    4.402770533    0.4149177055   0.2935083771   7.465637508    1.368960192    2.353304689    0.09101583371  1.081186895    
81       I1         1.925710618    3.801300663    3.69304384     0.1339867501   0.5185026592   7.822289279    2.418465654    0.5822012304   0.1083853717   0.6045555294   
82       I1         2.448286095    3.370824246    3.554562642    0.1448942896   0.7934731076   4.058018758    2.724764023    1.526052728    0.1425835135   0.5233293679   
83       I1         1.548020555    4.061261418    4.218159995    0.08187029442  0.8928641198   9.301918015    3.093389063    1.152838573    0.05025233452  0.8467271773   
84       I1         2.081827444    4.409835728    4.906027345    0.6520493137   0.8469582789   7.375963574    3.305645983    0.155087912    0.008231453429 0.3165297337   
85       I1         1.485629004    2.704478325    4.565531202    0.8439753187   0.2340491312   0.1383557627   2.434446248    0.9111448851   0.1403944829   0.6213197431   
86       I1         1.746500615    3.227980779    4.970312518    0.768180211    0.6994658029   9.893005244    2.518181823    0.5954491473   0.09432417189  0.3867674931   
87       I1         1.851278613    4.036478649    4.193051593    0.04631572826  0.7329755853   3.831712223    1.814968118    2.770988668    0.1021871067   0.8090255705   
88       I1         2.570099175    4.334131983    4.838226788    0.3947952275   0.8994223175   5.939641469    2.057926537    1.363241007    0.1458805951   0.6607134313   
89       I1         1.785592975    2.74267134     4.230772191    0.6948103972   0.8759965862   7.256774185    1.134577945    1.216890575    0.01250996033  1.381463268    
90       I1         1.446126842    3.506979987    4.290803523    0.152770079    0.5611679837   6.440097854    1.340808712    0.08861374577  0.05447985943  1.149478475    
91       I1         2.231535246    3.038498826    3.836470672    0.7047729654   0.2956648772   5.044471134    1.360166142    2.831380021    0.03502517654  1.224816432    
92       I1         1.5563423      2.940992295    4.984071993    0.9125552918   0.4105007558   2.171727156    1.642919153    1.413254429    0.09013046365  1.111416295    
93       I1         1.355868765    4.251213937    3.980459772    0.9575132077   0.1250539843   6.827758737    2.898298667    2.428877288    0.1355405351   0.6781488243   
94       I1         1.980854117    3.735074175    4.719299654    0.6923296241   0.15576903     7.585434032    1.988513382    1.840322329    0.08527533361  0.6466656463   
95       I1         1.214426209    4.068421291    3.717056883    0.4751500174   0.4965381045   7.064042437    1.959406696    1.897782895    0.03323297563  0.79927869     
96       I1         1.726046435    3.671081187    4.373791143    0.3961759723   0.8820383405   4.630881637    2.218883641    2.416805911    0.1069855645   0.6245005049   
97       I1         2.259430362    3.059449679    3.841652917    0.08532162429  0.7724180491   1.20806615     2.406973527    1.550609428    0.01145371287  0.5723382895   
98       I1         2.104016156    3.55773209     4.070673926    0.7102397642   0.7594634673   1.276621057    2.034118778    2.650226115    0.0778977386   0.7017952083   
99       I1         1.440934608    4.155648467    4.489426441    0.3745234011   0.05784624219  0.9747690129   3.359789056    0.4583150151   0.1394439917   0.3273159778   
100      I1         1.136047534    2.805831257    4.018088633    0.9358103204   0.6631821369   2.681876318    2.878425189    1.392706153    0.07278662764  0.8336798509   
101      I1         2.314376697    2.528528489    3.766092763    0.8012678524   0.3380955784   1.544169539    1.666097965    2.436065393    0.04883476045  0.9784814945   
102      I1         1.336394339    4.112137624    4.257690755    0.1060554789   0.4874712745   4.410688445    1.021002136    0.9032487203   0.05296698354  1.414437863    
103      I1         1.51928575     2.778420887    3.640499372    0.4984778558   0.5565208168   3.465457878    2.636583707    1.407319214    0.1050729898   0.5594304192   
104      I1         2.484835303    3.361637589    4.673708299    0.9169635703   0.9584592573   3.661604156    1.626046344    2.721607916    0.06883973113  1.083196166    
105      I1         2.633004722    3.009794435    3.959565825    0.1911231965   0.4200881004   4.310346469    3.223977752    2.083112658    0.03837920391  0.7186840279   
106      I1         2.174533859    4.24155949     3.605836802    0.8055794563   0.1289259313   0.8712048423   1.47547493     0.3576381975   0.05674072439  1.236745086    
107      I1         2.164084269    3.825331428    3.743459489    0.6602045533   0.9310201391   3.940408519    3.345000024    1.255059318    0.09500131077  0.5213050074   
108      I1         1.40748976     3.269857454    3.613410887    0.3513967573   0.2087928288   0.275446016    2.393861539    2.379028174    0.005707570683 0.6114832835   
109      I1         2.207471669    3.696095569    4.953433392    0.7479293057   0.6208331469   6.043796498    3.17842612     2.63306504     0.06397869968  0.2528540339   
110      I1         1.817992494    3.421298897    3.680934571    0.3476104215   0.9848527638   3.697353834    3.205029226    2.609415217    0.04367763218  0.7209708926   
111      I1         1.841522265    4.097849565    3.854733149    0.8944457742   0.2666295428   0.8342739093   2.451002017    0.1132925225   0.1038271258   0.5602707426   
112      I1         1.028558637    4.395976659    4.850708376    0.07736213041  0.2877460165   4.286154237    2.342573154    2.858967395    0.0358153585   0.4668592799   
113      I1         2.673053607    4.299857137    3.731005974    0.5353698492   0.9546232434   5.682692331    1.833273034    0.3297641712   0.1263674929   0.8690241498   
114      I1         2.536356129    2.94971948     3.791413702    0.4476728921   0.1985287257   5.877084206    2.332507761    2.959670102    0.08062046257  0.5167939336   
115      I1         1.221286098    3.091747092    4.988116002    0.02088740981  0.6270359666   3.042521913    2.706674091    2.968189388    0.1165163341   0.6701196414   
116      I1         1.566175135    2.761778064    4.619123045    0.7772854328   0.8689908005   0.701920532    3.210067409    2.315740719    0.1364071208   0.4717365772   
117      I1         1.274491319    2.646811393    4.541078206    0.9315443773   0.5429176497   3.558779445    1.897459978    1.612403454    0.1007736411   0.8842986582   
118      I1         2.690996676    2.526087611    4.808364715    0.8162194583   0.7193760053   4.45813412     1.237292771    2.916857372    0.04701795317  1.493962239    
119      I1         2.568473146    4.137371732    4.712640556    0.7968582963   0.4242836668   4.727184153    1.80008991     1.708122614    0.1139955595   0.9441098256   
120      I1         1.569678216    3.338107622    4.063307776    0.465210757    0.05394717492  8.370357904    2.795801305    0.7605917496   0.1207844583   0.5441483422   
121      I1         2.059382799    3.480112307    4.448286767    0.676848485    0.7659888071   0.5511667692   3.065255811    0.6273333389   0.04996173736  0.4412152299   
122      I1         1.251983061    3.5294187      4.895590538    0.6853682706   0.02603853883  0.3973248431   2.273167593    0.25877566     0.1117101241   0.7551452234   
123      I1         2.608649771    2.718925771    4.923080038    0.9534866534   0.4852475744   5.656863288    2.944974689    1.787944327    0.1111344308   0.2535366769   
124      I1         1.300299416    4.315529596    4.439258158    0.4085227492   0.5280954635   7.952141837    1.17345003     1.653641993    0.0552195593   1.298911208    
125      I1         1.812249205    2.606103003    4.207326122    0.2887668062   0.622309483    0.241138325    3.327272653    1.057347563    0.03722880863  0.620253768    
126      I1         1.073465582    3.281416285    4.871629654    0.5249688643   0.01958054421  1.813236371    2.233781363    0.7152595511   1.456431299e-05 0.7052828591   
127      I1         1.871461564    3.618028139    4.354930306    0.6578579263   0.4387943063   1.447753494    3.090544016    2.861107974    0.02610233661  0.4228790917   
128      I1         1.531302643    4.291688321    4.470651024    0.4832078674   0.4692989556   4.063302564    2.005978744    1.027393238    0.1140044625   0.6279831052   
129      I1         2.351440729    3.984981332    3.976192295    0.3334357705   0.8887746462   2.891081887    1.780841718    2.809087969    0.05902603118  0.8699796866   
130      I1         2.188799289    4.426915869    3.763401858    0.2421199327   0.633732568    2.183137175    2.254161223    1.501996075    0.0386523747   0.5620427739   
131      I1         2.073481817    4.19975252     4.059570044    0.02682032949  0.4067010932   7.717283805    2.982602896    0.8698789191   0.1386862285   0.8012034508   
132      I1         1.776181637    4.281676341    4.601083691    0.2944660222   0.5329572475   8.654259139    3.190779325    0.3783589419   0.05579865265  0.483378942    
133      I1         1.108544849    2.534835404    3.907005807    0.5574533339   0.5312512202   4.956372551    1.132762913    1.111286656    0.1497937356   1.37125394     
134      I1         1.860758497    4.309644018    3.568370574    0.7262102806   0.172586491    8.24717916     2.826130043    1.102627846    0.1001341298   0.3805692173   
135      I1         1.674412891    3.278168673    4.557856555    0.3374150785   0.3509214385   9.442576294    2.648130001    0.7579311184   0.07478697018  0.3854660943   
136      I1         2.365250111    4.268194883    3.652058014    0.9698528934   0.3148766168   1.040583558    2.709937443    2.697099797    0.06278456756  0.3645333297   
137      I1         1.781726666    4.015786552    4.182054792    0.7362907138   0.4707808031   7.516776562    2.314827831    0.8332722562   0.1472330434   0.5810765723   
138      I1         1.160359321    2.814107756    4.504594779    0.3240121076   0.9087467498   1.593846828    2.574820401    1.54692594     0.1227714602   0.7005301613   
139      I1         1.762583374    3.913315232    4.79224147     0.07903790755  0.2536875913   2.999869278    1.026485822    1.018043429    0.04035865604  1.569579141    
140      I1         2.227668383    3.659819566    4.823310104    0.1241161824   0.1065470813   2.212150905    2.484000237    1.303218177    0.1048580881   0.3034846915   
141      I1         1.892182611    3.829369201    4.432171739    0.4961993767   0.04071712417  4.124835472    1.259489469    1.514952042    0.1071975463   1.285045608    
142      I1         2.438002296    2.835703771    4.164323104    0.78766895     0.9142553178   1.458145766    1.752894144    1.1473518      0.008643068442 0.9046679427   
143      I1         1.523985933    3.544451785    4.519375785    0.5112211774   0.2464161253   7.652579117    2.477539512    0.245910656    0.1031862129   0.3993244005   
144      I1         2.128226823    3.76354968     4.30351576     0.3991976672   0.8537564426   9.583711601    2.837037025    1.317227462    0.08277730239  0.6064302611   
145      I1         1.996228928    2.540429602    3.711581441    0.368880236    0.1890601572   9.548449799    2.465765395    1.922017452    0.01390085479  0.5126549596   
146      I1         2.621550885    2.867785047    4.329993795    0.7909367982   0.3617422335   4.447244152    2.194981328    1.871805178    0.1106932101   0.578150245    
147      I1         1.179220201    2.658902       4.243564122    0.6478459703   0.603556501    9.807148281    1.390362506    0.0299123315   0.004545019591 1.175732318    
148      I1         1.168907969    2.963948278    4.297313474    0.01128075689  0.3331156004   9.435916875    2.134421948    1.826155283    0.1016231905   0.6495974894   
149      I1         2.669316018    3.942832914    4.508984196    0.7218329044   0.1659209448   4.884283603    2.154174786    1.646402055    0.08429907018  0.6025451096   
150      I1         1.321814661    2.737313426    4.691908797    0.5699990112   0.3475140804   0.5155318816   3.024165153    0.6985175133   0.09299563755  0.4306502308   
151      I1         2.408819711    3.454900871    3.967477215    0.6318941159   0.6156617733   8.584118857    2.677983351    0.1957440408   0.1064969149   0.5071371091   
152      I1         2.698319731    3.953829189    4.210760386    0.4393065005   0.7707287291   8.415995466    2.890978104    2.322124854    0.0276572766   0.55485764     
153      I1         2.035763744    4.027521548    3.988401344    0.8532681676   0.191096213    6.216627951    1.570159858    2.365912251    0.02390621498  1.033264584    
154      I1         1.094910471    4.320539252    3.533485608    0.1134234945   0.949165208    1.059934205    3.233827472    1.38156577     0.04816999326  0.8467484129   
155      I1         1.076284249    2.915427134    3.938568019    0.9569122946   0.9325752491   9.053510048    2.229634502    1.336880903    0.09462798458  0.9188419914   
156      I1         2.557817526    4.349751855    4.549024377    0.5475402506   0.3909964414   0.1747179927   1.222673888    0.1265346684   0.08313457829  1.336245036    
157      I1         2.592783879    3.878690569    4.235789382    0.8179985224   0.04916239375  1.957400108    2.207458896    1.343975291    0.1307015618   0.5782032632   
158      I1         1.653795976    3.895301185    4.189859384    0.6558531331   0.4543216541   3.347979457    3.381077879    2.463665446    0.1476028276   0.5168050754   
159      I1         1.173719663    3.960591709    4.087229769    0.5440634302   0.320086903    1.323055332    3.462024267    0.4685879183   0.08647327878  0.6802229179   
160      I1         2.382335925    2.676093945    3.736253997    0.333323562    0.5760678983   2.28079469     2.123644312    2.116017835    0.1274418551   0.6010763224   
161      I1         1.399648779    2.641480856    4.254639916    0.4583877322   0.3850713039   8.799554718    1.939175983    0.42181485     0.04946952656  0.7497701359   
162      I1         1.044349805    2.617877276    3.772429689    0.5763089343   0.5132588444   4.126543821    3.498405599    0.5036395973   0.1437396742   0.7548211704   
163      I1         2.040856682    4.185120593    4.992183092    0.2011009297   0.7282635288   3.91128993     1.111029395    2.193065111    0.007300818836 1.608556227    
164      I1         2.122242053    3.742420556    4.532068558    0.7426416074   0.06335144982  8.861973182    1.409865042    2.302330392    0.006898117403 1.204702944    
165      I1         1.278399449    3.998650508    4.386013343    0.7351553244   0.5233939486   1.941395209    2.099260682    1.276744053    0.06008058436  0.7467663168   
166      I1         2.065941496    4.375989962    4.591197194    0.9752273023   0.739563675    6.953071345    2.54342476     0.6182917958   0.02565810475  0.4156119623   
167      I1         1.105703563    3.603153875    4.360553838    0.3091048798   0.6515158266   8.095700615    1.97242533     1.886579956    0.1215249139   0.7663975205   
168      I1         2.0490471      2.980463531    4.313651242    0.06864317479  0.5694610568   4.529884387    2.55694486     0.1708686619   0.07730740259  0.5390565704   
169      I1         2.336678545    2.607015022    4.13313467     0.4727462276   0.5109124987   4.846555464    2.009567014    0.8514384187   0.0282495218   0.7070372953   
170      I1         2.003370076    3.857509225    4.644001528    0.4223373309   0.7761797963   7.105306752    1.379363737    2.447861487    0.03087510477  1.202341124    
171      I1         1.315844146    3.06099713     3.849085841    0.2053694139   0.9527122088   6.52304944     1.037207481    2.251873656    0.09794794756  1.412276959    
172      I1         1.048550442    4.457955617    4.34905553     0.07396129374  0.6889461185   5.371052394    3.147121145    2.718524897    0.01312596596  0.9241670329   
173      I1         2.637686949    3.77796477     4.453330652    0.5950280336   0.653742217    3.302655049    1.317125486    0.2342803905   0.03035410451  1.295425384    
174      I1         2.653548078    3.141666179    4.656688424    0.6646589952   0.4967438265   4.019669975    3.297357431    1.242224447    0.06472292232  0.3972110935   
175      I1         1.715064302    4.257561411    4.911750047    0.6890713407   0.5927817656   0.5941868708   1.474446234    0.2840585365   0.1484845639   1.226098886    
176      I1         1.966159008    3.633560877    4.929672909    0.1397966434   0.3251547208   9.719304767    1.212281635    1.798035012    0.1321879412   1.47575624     
177      I1         1.428718011    4.009210003    4.278421151    0.6297198519   0.06784710513  4.504271809    2.110244726    0.8262394375   0.1157453686   0.632673762    
178      I1         1.597171496    2.713150076    4.105097614    0.6421091236   0.6483402606   2.505893795    1.445860462    0.8113180241   0.1123311672   1.123256041    
179      I1         1.435738841    3.575342183    3.94820331     0.4929807404   0.2375262317   3.090635965    1.946876391    0.4947618117   0.03120143511  0.7886169558   
180      I1         2.49550917     3.20244509     4.155020637    0.7246198575   0.509737054    8.296674237    3.07356733     2.395915723    0.06102130474  0.5005694735   
181      I1         1.38476364     3.448328167    4.934792499    0.3637232882   0.1628758786   5.736727176    3.081848135    1.956144609    0.1449201112   0.309839605    
182      I1         1.916061424    2.554657491    3.53698483     0.03599679946  0.4273640679   9.65776003     2.96616941     1.26336092     0.08222531352  0.7426254751   
183      I1         2.532347989    3.46101426     3.62460696     0.9014394052   0.03786302582  6.352420219    1.500558745    2.489029106    0.1014565964   1.216564403    
184      I1         2.615915018    3.888847421    4.79764427     0.8888690782   0.08285317218  3.665753972    2.689356423    2.614904444    0.131242177    0.2685377037   
185      I1         1.374139832    2.758630195    3.645172422    0.9711978667   0.9466801024   1.740474131    3.255199615    2.268371791    0.06069289637  0.6694615485   
186      I1         2.42488636     3.430215775    3.89962961     0.7740396554   0.03575032858  0.3695975357   1.615097097    1.771597677    0.06589372763  1.004450453    
187      I1         2.144278275    2.852555263    3.94033855     0.594645732    0.2098740821   4.217818408    3.388996575    1.201023504    0.1128746005   0.5567864393   
188      I1         2.687353195    3.182520664    4.395200035    0.3857637516   0.367962828    3.812652926    1.001621239    0.4107358551   0.07900732148  1.530583822    
189      I1         1.831380639    3.748178647    4.572368501    0.8802523054   0.4931008605   4.675868525    2.131953858    2.733793839    0.1100466187   0.5820504354   
190      I1         2.522802265    3.6313376      3.574449299    0.1822568941   0.8629435835   2.025216672    1.819137968    2.021026004    0.1368015372   0.8712418421   
191      I1         1.712847891    3.720919852    4.724465045    0.9805095429   0.5735897937   7.789316642    1.702350809    2.030220468    0.07632981182  0.9651550747   
192      I1         1.511466075    3.468506529    4.56279257     0.2137834302   0.812421547    2.534502614    2.503245116    2.681929217    0.04259969905  0.6169636785   
193      I1         2.300285292    3.728736281    3.528708839    0.9844407052   0.3533398499   2.908796736    3.102060641    2.937794033    0.1242706233   0.3127694693   
194      I1         1.185922271    2.58569609     4.760692807    0.3579996258   0.7449829453   5.567548951    3.368082352    1.937800442    0.03170786377  0.5174785869   
195      I1         1.988003539    3.15712189     4.247393474    0.8608480364   0.5857182627   1.28832285     1.687508881    1.756551853    0.1336132827   0.9349356366   
196      I1         2.238629173    2.517951387    4.324802023    0.7599331456   0.1479898162   3.411606954    1.441605389    1.919275367    0.1266391866   1.149293525    
197      I1         1.912023774    3.517767781    4.168677946    0.1493129      0.9379771955   6.710055755    1.422243749    2.790775506    0.06448859512  1.122263883    
