%eval_id interface log__t_efold_soil log__t_efold_karst f_exfiltration_soil PDD_melt_factor log__H0_pdm_soil log__fdd_threshold snow_insulation_k f_tile_soil    log__tau_tile  recession_b_soil recession_b_karst neg_kge        
15       I1         2.242088596    2.842019916    0.1741324481   4.233359989    1.777746471    0.7564261718   0.1373034318   0.3711127694   0.1917855583   3.685880617    2.469799112    1.146875828    
16       I1         1.147936518    3.250364477    0.4326552684   4.979091153    2.212366261    0.1824001612   0.07639005556  0.2070200018   0.7536698135   3.940116381    1.527178269    0.628487117    
17       I1         1.648138288    2.758630195    0.346439444    9.105357257    2.666280962    1.774446812    0.02355791378  0.3127430557   1.14442414     3.547720597    2.884885874    0.3722054757   
18       I1         2.656310536    3.711987165    0.7986998212   1.36328288     2.394185757    0.2131360897   0.05834551981  0.6117539342   0.7109932779   3.792513313    3.156999335    0.8253085805   
19       I1         1.010710877    3.866116323    0.7411603891   8.476879288    1.507124563    0.9277984407   0.08342655688  0.3667245964   0.2113015932   1.548721656    3.026637536    1.208377125    
20       I1         2.52491466     4.444794709    0.08736951318  2.109461332    3.445103885    2.905630386    0.1288272687   0.633360871    0.9403443506   2.901797031    2.397573335    0.3791638841   
21       I1         2.336678545    4.114596837    0.8883672173   0.5148381013   1.621652019    1.525212205    0.05295079616  0.8850366417   0.3408780091   3.851618553    3.187383078    1.744253344    
22       I1         1.09845222     3.685852099    0.1282105867   8.398762718    1.051082731    2.076688286    0.120419034    0.2930991773   0.8189892536   1.667432108    2.092813456    1.306881112    
23       I1         2.448286095    3.594813514    0.420406943    2.004962762    2.406040775    2.185054212    0.1189561737   0.7175966932   0.1994218517   3.294420812    3.637565646    0.5458312713   
24       I1         2.188799289    2.781749931    0.7147995907   0.1386105809   1.638446769    2.763252996    0.09627992821  0.6579385868   0.615940334    1.629152423    2.325049644    1.41557595     
25       I1         2.274434238    2.792870019    0.09540675286  8.344831779    2.695654305    2.147597979    0.1049649774   0.2554311941   0.08955791592  2.354966532    2.361166177    0.3607674639   
26       I1         1.017740675    3.949820751    0.1609239027   7.501175422    1.12205674     1.352429296    0.01094030814  0.5796621115   1.017066028    3.14904859     3.89608446     1.620511947    
27       I1         1.950014581    2.50588423     0.3484845734   9.336760321    1.524696469    0.8457823901   0.1296365363   0.4055661217   0.8709260749   2.873623032    3.721503926    1.412226179    
28       I1         1.460345995    3.78829318     0.3106671615   4.385849245    1.708535756    2.441867073    0.04517364864  0.06151024498  0.8490670516   2.189870921    3.984544159    0.7476386364   
29       I1         1.395714096    3.182520664    0.405330441    8.731854044    1.739699897    1.87760889     0.09374511853  0.5310932993   1.002690232    3.457293671    2.218944517    0.9385064327   
30       I1         1.862721522    4.144689943    0.7657031035   2.389648818    1.529614483    0.1125485507   0.1493936339   0.2159190955   0.6722296516   3.442103411    2.314299104    1.556795488    
31       I1         1.969443469    2.526087611    0.1838472716   7.720914576    3.030429801    1.116302786    0.1499043359   0.6982858856   0.3580897934   2.384736835    2.477739711    0.2519439183   
32       I1         1.143318514    4.212617102    0.2100086081   6.239655006    3.099438063    2.66482792     0.02742633453  0.6262683552   1.116583186    2.915426332    3.837387076    0.4303656439   
33       I1         1.980854117    3.49614958     0.7479797478   5.596082035    3.486869295    0.4797401925   0.08441841163  0.6225713855   0.5951387229   3.895959799    3.055445155    0.6904063428   
34       I1         1.005267824    3.421298897    0.9180832957   4.540892924    1.491200356    1.418535867    0.1114727629   0.2942550761   0.6515035488   3.469934563    3.959588143    1.658411101    
35       I1         1.860758497    3.659819566    0.4743634524   5.805738367    1.071079148    1.130821886    0.1182758909   0.6669385813   0.009037418199 3.181519552    1.98648461     2.125758341    
36       I1         1.130114072    3.038498826    0.4440244283   4.880365191    3.404878084    1.29244494     0.03547913378  0.3270393023   0.801115793    3.168726437    1.766225871    0.5232272446   
37       I1         1.6059263      3.561123879    0.8843081683   1.462707619    1.693852907    1.837911998    0.04685050309  0.911184993    0.2043119256   1.863793677    3.199740713    1.410444322    
38       I1         2.283172998    3.705198187    0.3290888779   0.1769113734   1.571553906    1.256811856    0.02675162771  0.3415694521   0.3029424967   2.438309195    1.678656954    1.48349962     
39       I1         2.483188645    3.970689271    0.6392585031   5.36997952     2.526603353    1.81944132     0.07676183645  0.223760902    0.5034280791   3.928231122    1.71609897     0.3813374396   
40       I1         1.925710618    2.954449181    0.9217858182   6.624434712    1.814970212    1.402177016    0.01902752918  0.04175644057  1.013185501    1.765763357    3.018407198    1.097653373    
41       I1         2.040856682    2.975463035    0.8745626012   2.60429237     2.736792525    1.643819406    0.01159171013  0.3489246958   0.03966223807  2.097478593    3.488489766    0.4321737999   
42       I1         1.6989671      3.500850289    0.1879873966   7.437018435    1.215000009    2.896290918    0.09766720969  0.5900216278   0.0950603933   2.057256218    3.466637773    1.596420853    
43       I1         1.740563043    2.886667382    0.7259872373   7.554591966    1.37185977     0.7925340574   0.06347559222  0.4772449404   1.107189649    1.828328017    3.093176434    1.521716899    
44       I1         1.329635181    3.76354968     0.3792242899   3.673327095    3.349541171    0.1497535972   0.1024004455   0.1041108143   0.7883426666   1.920740137    2.730592611    0.4937596903   
45       I1         1.731569625    3.379469036    0.1093445691   7.173850679    3.473081087    1.973124858    0.05528032943  0.6516873013   0.4590156645   3.643036988    1.683957417    0.3121607041   
46       I1         2.58843912     3.480112307    0.9473977662   8.830805189    3.019101867    2.566400366    0.077672568    0.7663012019   0.1860279057   2.421546867    3.111119467    0.4475194103   
47       I1         1.278399449    3.661522358    0.4556091307   3.56941665     2.42140412     2.391003601    0.02999640266  0.2441586623   1.077753623    3.154849393    2.115514808    0.4745213821   
48       I1         2.370202853    2.646811393    0.1518104971   6.644687215    1.147569146    0.02264181597  0.02852849577  0.5501575542   0.9787325014   2.089015352    3.476131521    2.045337647    
49       I1         2.024356168    3.398219087    0.7106140872   1.734279805    3.227917831    1.894672794    0.03003352471  0.6861985368   0.2422480792   3.755819431    3.074201935    0.7487050011   
50       I1         1.569678216    3.929424073    0.2668311274   0.860902123    1.701845824    1.18777878     0.05341632766  0.8659576102   1.098171111    3.666816952    1.52225077     1.169962402    
51       I1         2.134442838    4.334131983    0.1212022547   6.74857966     2.579102672    1.683897966    0.03819066617  0.2385205776   0.0001112713513 2.494793343    2.020831567    0.3343044855   
52       I1         1.274491319    3.829369201    0.2621772818   9.665746649    1.977510326    1.968725252    0.122824631    0.9334278124   0.3254617007   3.487348945    3.180238548    1.134966198    
53       I1         2.035763744    3.84290054     0.4146187188   5.219617476    3.290292393    0.5326143292   0.06204712668  0.729240524    0.7650247517   2.204311453    2.07065479     0.2513121233   
54       I1         2.408819711    3.618028139    0.7543288554   5.722193126    2.978344882    1.656833015    0.02459190255  0.04525412923  0.5348445024   2.143013639    2.773715742    0.2212165865   
55       I1         1.61770235     3.115081163    0.01914181588  1.601523929    2.667210267    1.36459773     0.1115606803   0.9625629327   0.8948828189   2.333942801    2.835157009    0.5544124331   
56       I1         1.3501715      3.163309721    0.01096722084  1.21687323     1.956814551    2.584485906    0.1415873434   0.7581185426   0.1370906823   3.040494716    3.528652599    0.7987324976   
57       I1         2.174533859    2.92345399     0.7832098883   0.4668629691   1.791038018    1.825624117    0.0311459075   0.1001260823   0.4737005352   3.067060409    3.085109859    1.332860677    
58       I1         2.289566797    4.279106544    0.5030314117   1.167673099    2.171681009    1.465130537    0.003394754834 0.4169091035   0.2824201393   3.0150074      2.750815503    0.7676052118   
59       I1         2.484835303    3.589662688    0.8990153957   2.317182403    2.750343006    1.53415626     0.1464060295   0.001669500595 1.067023267    2.080956035    3.953468371    0.3350108914   
60       I1         1.886805977    3.448328167    0.9822357883   1.41121099     2.478401537    0.4248659025   0.1404722351   0.1248584508   0.3492408977   2.223839967    1.596995011    0.7675690926   
61       I1         1.40748976     3.361637589    0.6701648046   6.922597836    3.050593053    0.7671652038   0.1141919901   0.7946835326   1.034716517    3.786099312    3.43808122     0.7878505994   
62       I1         2.39721588     3.073491358    0.4468695913   0.9593261186   2.468669037    2.46884217     0.04999638205  0.1696826347   0.3336971099   3.416283794    2.592855714    0.3172309594   
63       I1         2.082954783    3.17860536     0.5365189733   5.407307661    2.636519966    0.7739220284   0.03646204102  0.9021519668   0.3185048772   3.970561593    2.083751095    0.8774546027   
64       I1         1.374139832    3.101491135    0.3959173938   2.715494276    2.382037405    0.4084101498   0.1061370213   0.004016522457 0.6885967423   3.218879958    2.967846534    0.4843470299   
65       I1         1.807474017    2.814107756    0.415143026    6.414013601    2.277838007    2.409107881    0.1150234799   0.9144262606   0.3541325568   2.717553762    2.236231372    0.7414630999   
66       I1         2.611398778    4.426915869    0.5722285074   9.197663091    1.913170479    1.691724949    0.08865237074  0.1391989005   0.06603304289  2.214816784    3.96954363     1.089700263    
67       I1         1.435738841    3.227980779    0.6151645374   0.7974237599   1.088493048    2.324995802    0.1127055113   0.9343554069   0.7045546013   2.413827183    2.415009577    2.074685863    
68       I1         2.560860465    4.382441872    0.4367642042   0.5442024497   1.728736932    1.601719438    0.006088196049 0.4736569038   0.1062025306   3.60552181     1.625377979    1.143084116    
69       I1         1.921021649    3.851414134    0.9397456248   4.001165434    3.126281054    2.291725214    0.1301537977   0.8338688038   0.1002823799   2.970164778    3.803102209    0.8307106272   
70       I1         1.662142075    4.268194883    0.5821217126   4.197736747    1.509882863    0.4115593231   0.06057402082  0.7850792976   0.4288503002   2.07112743     1.941698111    1.338086814    
71       I1         1.201486251    3.718143008    0.5243620839   9.060572673    2.493332816    2.788460005    0.03276470079  0.3213900088   0.6036159361   2.92423786     2.491769715    0.4978006738   
72       I1         2.257081237    2.74267134     0.7373419219   0.1129382584   2.241168634    2.176902932    0.09888780004  0.7597690295   0.7104866708   1.647692788    3.102294426    0.7968515737   
73       I1         2.207471669    4.257561411    0.5753347279   9.402470267    2.776986422    0.9665697972   0.06282746917  0.8130095971   0.8292348277   1.583524127    1.892776758    0.312491019    
74       I1         1.746500615    3.798781944    0.9706041785   9.124406446    2.086854759    2.856386784    0.03857514919  0.2360356519   0.6324185902   3.510246074    1.769672377    1.091531856    
75       I1         1.801323509    4.315529596    0.7347131634   7.290965054    1.284197725    2.474231474    0.1013613854   0.1907387744   0.5906285558   1.951750726    2.016112678    1.530297954    
76       I1         1.124056614    4.19975252     0.1937842831   7.906744585    3.000775693    0.2850253207   0.02126082258  0.2305107794   0.4113652747   3.096775442    3.287277177    0.5280357852   
77       I1         1.831380639    3.059449679    0.8322045175   7.818359784    2.046143113    1.275862566    0.1368455382   0.9870738789   0.8793173553   3.108680752    3.131837312    1.133299156    
78       I1         1.637441218    4.025314388    0.6663352558   6.668392936    1.850548838    0.8112910144   0.1314467595   0.3736165629   0.1322552959   3.680653893    1.796438648    1.031797617    
79       I1         2.690996676    3.942832914    0.8293473716   8.749204652    2.522986541    0.9062533227   0.0593108029   0.3949559054   0.5560898352   2.643628398    2.316697341    0.5389384552   
80       I1         1.673829551    3.603153875    0.9040988944   6.485592167    3.241772057    2.330095952    0.1326040445   0.4435118461   0.1110955697   3.918163315    2.182132503    0.9123199337   
81       I1         1.485629004    3.28918967     0.5309114694   8.370694267    1.177098855    0.5191625367   0.128321734    0.1580659387   0.07678404345  2.398429731    2.793377847    1.656764575    
82       I1         1.23030736     2.528528489    0.6035682808   5.757132868    1.105205127    2.914940838    0.05435387762  0.06935359414  0.1881148458   2.480118921    3.535073421    1.612741331    
83       I1         1.912023774    3.720919852    0.3424440375   7.13699363     1.537205327    2.757452028    0.07727847399  0.8434601911   0.584674356    3.024182801    1.695076194    1.461884233    
84       I1         1.300299416    2.722733063    0.3936567825   0.3626207292   2.133473607    0.5089844551   0.03209816459  0.9434592404   0.4944831265   3.441277941    2.505888367    1.309328223    
85       I1         1.067752423    3.15712189     0.3828402982   5.694942135    2.000992086    2.038714769    0.02533462494  0.3390397684   0.4218774331   3.999303971    3.649774748    0.760262168    
86       I1         1.523985933    3.882876357    0.5534769359   2.701212951    2.011992585    2.698876829    0.1053034207   0.9091431402   0.9436278416   1.723681221    3.271608355    0.7823725302   
87       I1         2.081827444    3.921315166    0.7061470519   6.713391891    1.667654315    0.0684235601   0.1414414443   0.3301448915   0.3142729987   2.76833406     1.610140723    1.247878852    
88       I1         1.762583374    2.606103003    0.7229155004   5.846640824    3.419538922    1.631732487    0.08363169233  0.198975104    0.9955426773   1.769286888    3.275590506    0.2942292178   
89       I1         2.059382799    3.581341495    0.3617229176   1.507344602    2.944944003    1.617013795    0.03756278062  0.5636804626   0.7764011752   2.159288687    2.35791619     0.2510021514   
90       I1         1.24206557     3.00061826     0.9203800255   2.368790368    1.901236105    1.853523621    0.1256033438   0.7702330092   0.5664989223   2.243834661    1.9156794      1.319455858    
91       I1         1.309835618    2.561105748    0.5998100814   7.071226522    2.451256275    1.306269226    0.03749183454  0.2726590144   0.6540802414   3.903566632    3.859237076    0.6770661236   
92       I1         2.464753117    3.381479204    0.2089578086   6.360435239    3.395829612    0.4478079514   0.09109090936  0.7327871282   0.3631412861   1.991031825    1.96537243     0.3210343653   
93       I1         1.197608997    2.933302108    0.3154184469   0.3794033731   1.554041627    2.941560085    0.05896662108  0.7882614762   1.04842779     2.528572723    2.168995732    1.153699788    
94       I1         1.419627759    2.671844913    0.7712621563   3.472139862    2.437729066    2.733758634    0.06458258059  0.7765905472   0.7932392408   2.324925251    2.210883003    0.7433346854   
95       I1         2.001021493    3.192119739    0.7635570378   5.89654224     3.108573553    1.769588324    0.1428646727   0.1432601651   1.121365524    3.344467925    2.789742449    0.3249125771   
96       I1         2.115755904    4.238652031    0.358488549    9.994476062    1.238420689    2.996998327    0.08706012101  0.02392432088  1.102690908    3.159493972    3.366113956    1.86149071     
97       I1         2.522802265    2.549476557    0.518568485    5.056203602    2.74838412     2.707680943    0.04029515756  0.5590733195   0.1708451812   3.815068257    1.776573038    0.314377098    
98       I1         2.152181115    3.633560877    0.8542644272   3.272163128    2.954540297    1.801150454    0.138338759    0.8629184666   0.310725546    1.726585373    1.907087426    0.3949400646   
99       I1         2.21752088     3.544451785    0.6842847913   3.548803977    3.072333524    1.438350141    0.07919428837  0.1219896361   0.4729105468   1.612684986    1.565506371    0.3250596774   
100      I1         2.026528753    2.572877885    0.651422557    0.6298177523   3.327675458    1.44978291     0.04214104853  0.5357215693   1.057645032    3.131494552    3.260036088    0.4748443402   
101      I1         2.438002296    2.684915637    0.2433909221   1.542269166    1.322212992    1.079273987    0.05086975087  0.1854114789   0.4080096616   3.859302868    2.611585966    2.026035745    
102      I1         2.592783879    3.325932068    0.784607915    3.615506423    1.389989486    2.713184863    0.09448922408  0.265315605    1.02080548     2.608318323    2.339504498    1.933258372    
103      I1         2.621550885    3.212217461    0.526658302    5.911272733    1.259666949    1.24782376     0.1277342745   0.5433126781   0.2953041427   3.380334976    2.248006106    2.139260535    
104      I1         2.264016217    2.641480856    0.6588747364   3.895980756    1.746690328    0.7025106732   0.02422123677  0.5682068052   0.8901847929   1.803235273    1.73122481     1.241817118    
105      I1         1.419191177    3.020067921    0.5079141114   6.006115048    2.218038965    1.268531587    0.002232448881 0.4141695751   0.5068727397   2.928772995    1.644162521    0.6518405961   
106      I1         2.637686949    3.233603688    0.9640046122   9.409478913    1.897301616    1.868758684    0.05681258345  0.4498695322   0.9122439624   3.311952779    3.816173308    1.378428804    
107      I1         2.374256652    4.390829881    0.7293746783   0.5863888467   2.874956493    0.7823867631   0.06595564089  0.08644447727  0.5206413131   3.105493897    3.399570048    0.3441712455   
108      I1         2.451218561    3.05196134     0.3182065859   2.973687367    2.241693435    2.815735903    0.005858547319 0.3073416195   0.1400420993   1.77553667     2.421990792    0.5189281271   
109      I1         1.035159175    3.240139305    0.02402960909  7.956043475    3.123081186    1.199399624    0.1438532757   0.8724596727   0.677278843    2.609262968    3.699722405    0.6074940516   
110      I1         1.715064302    4.112137624    0.5522626128   3.782430276    3.495797662    2.099313077    0.05975538021  0.131565413    0.3839278357   1.684837544    2.862557109    0.4339040685   
111      I1         1.776181637    3.06099713     0.9486400733   5.034623237    3.367288764    2.570945108    0.1346089076   0.192126406    0.2516787663   3.240380911    2.982952977    0.7801937041   
112      I1         1.682175143    3.742420556    0.06177781765  7.038546648    2.709732812    2.519998626    0.007965774779 0.4213255374   1.035529688    3.770953121    2.91232798     0.3646341216   
113      I1         2.49550917     3.728736281    0.7685437061   1.296819446    1.078360011    2.247508049    0.1323017535   0.6455277211   0.6745841804   2.257851577    3.472449161    2.249187672    
114      I1         1.674412891    4.416630332    0.5129094329   8.788631933    2.966218213    0.2597685281   0.1291888112   0.01476395994  1.089338043    1.948266954    2.660236881    0.4153836141   
115      I1         1.236901997    2.937303238    0.241758991    6.083045783    3.197354727    2.232011366    0.01273689808  0.7641944371   0.1436728383   2.046825551    2.401910397    0.5429383252   
116      I1         1.38476364     3.77796477     0.6564252747   4.798964461    1.875866964    0.6937720412   0.03320550532  0.7237114867   0.482767204    2.689412652    3.787405792    1.110558172    
117      I1         1.073465582    4.125273371    0.9609391812   2.279544782    1.65885405     0.1534479042   0.0752496734   0.8077942906   0.5977768444   2.127146465    3.077301342    1.594402595    
118      I1         2.430353726    4.320539252    0.2965311055   5.630395924    3.191303062    0.437627133    0.04914827806  0.7431183064   0.0152179213   3.959411736    1.585219094    0.352266403    
119      I1         1.877159204    3.009794435    0.7513061837   5.332589335    1.928845776    1.317346713    0.07093832522  0.555145962    0.1496119964   1.652178482    3.703132757    0.8759862858   
120      I1         1.168907969    3.488369412    0.2530511585   6.301441424    1.171425871    2.214498936    0.0342095915   0.4383971186   0.0557782559   2.733860438    2.809317641    1.542565404    
121      I1         1.506686259    2.512574508    0.870526132    8.850027941    2.232400154    1.003517259    0.1036996961   0.1964982186   0.2158263465   2.817267895    3.515019051    0.8324516725   
122      I1         1.817992494    3.443673481    0.1717239359   9.357582849    2.064704255    0.2225072453   0.08245133542  0.4922201964   0.3730975699   3.401472719    2.06419181     0.6334080372   
123      I1         1.076284249    3.043160622    0.6976976822   1.619183891    2.65008772     1.125046341    0.08678170038  0.4549708023   0.2756018465   3.666598117    2.257950434    0.916859946    
124      I1         1.644514978    4.395976659    0.8208800235   0.6924157453   2.036095205    1.723537518    0.02094499778  0.8163273068   0.5713724522   2.776800173    2.131378999    1.093888087    
125      I1         2.164084269    4.061261418    0.06535929282  3.121569704    2.9118966      2.655143389    0.04727191486  0.9050819903   0.6093656145   2.228487627    2.461301724    0.2887577687   
126      I1         2.351440729    2.907100784    0.6257311488   7.465140334    1.232927153    0.8511505259   0.09590888954  0.009871069393 0.9675233855   3.943198376    3.162354531    2.131592506    
127      I1         2.095449208    3.517767781    0.3553098455   4.356625167    2.613664428    0.2908891529   0.01833573221  0.4700071392   0.3882569866   2.892869498    3.677866842    0.314547798    
128      I1         1.608026369    4.015786552    0.6328426929   3.453847976    2.115564427    2.677388137    0.003903155023 0.5750454877   1.127685603    2.134604509    3.212365066    0.6295790778   
129      I1         2.458476031    4.365189906    0.8577942566   8.093420141    3.013027381    0.6608468757   0.136419412    0.9174804898   0.4191135787   2.849740947    3.796458099    0.5512619569   
130      I1         2.615915018    2.824876514    0.2583550677   0.3991321436   3.268934483    0.4641253486   0.08012883658  0.9844048211   0.3779471829   3.986435023    3.148058284    0.9339554085   
131      I1         1.028558637    4.220899615    0.1557264435   2.507284945    3.060915399    1.220164794    0.02570619579  0.2040362926   0.4509588782   3.738939696    1.801058588    0.6378399475   
132      I1         1.411379407    4.126800681    0.6889745238   7.93993325     1.293505062    1.921241774    0.01109627483  0.3185395979   0.4972441885   3.693410172    2.850320698    1.770529396    
133      I1         1.499907384    3.34712382     0.6692030079   9.262183006    3.313795598    2.721928601    0.1102222215   0.939575259    0.516639844    1.936107553    3.205544191    0.619228987    
134      I1         2.541418893    2.662490803    0.53496363     6.314711872    3.43548336     2.154686661    0.1316148959   0.4082196819   0.3942121083   1.857549472    3.754941159    0.3848378035   
135      I1         2.536356129    2.761778064    0.2229116651   1.252806333    2.321672101    0.01162295839  0.08794592371  0.226548427    1.087097468    2.753125902    3.980585396    0.454637687    
136      I1         2.669316018    2.690692715    0.8431180264   2.158628529    1.397757512    1.788387284    0.04397785621  0.4015738896   0.9139524776   2.942762418    2.230551399    2.027757098    
137      I1         2.471193562    3.568702518    0.5808768799   4.125893078    2.597092677    2.139053682    0.1195602502   0.6603336486   1.114527747    3.388466501    3.605773477    0.375193559    
138      I1         2.581864559    2.94971948     0.6953625928   2.756046349    1.869697547    0.6277961079   0.0890400142   0.780751043    1.007369403    1.594027694    3.854865735    1.231876654    
139      I1         2.250696324    2.540429602    0.5415854781   7.759167438    1.472590742    2.003047198    0.009344382287 0.8689114632   0.6843949975   3.044558101    3.780291118    1.810940096    
140      I1         1.93714383     3.549620411    0.4704067544   8.978371301    1.686690934    1.179143481    0.07288007373  0.5273663808   0.8623619475   3.081916185    2.734091386    1.247067132    
141      I1         1.944751552    4.329415751    0.7887137476   7.335185488    1.358549377    2.831083725    0.06107634863  0.5383595783   0.8407561668   3.475792064    2.652933828    1.794293512    
142      I1         2.648251375    3.696095569    0.226241653    6.071087486    2.093863026    1.232224166    0.01380381433  0.9513452918   0.9227932614   3.118325291    3.589069753    1.045982057    
143      I1         2.159552999    4.137371732    0.4488348579   7.425548685    1.136100637    0.125918752    0.1055720617   0.801529505    1.134422068    2.813695476    3.608464057    2.095772975    
144      I1         1.044349805    2.963948278    0.6901710945   0.4439024378   3.409753172    0.9705015299   0.1034858414   0.2128254163   0.2467321695   2.490722974    3.878080469    0.7022930824   
145      I1         1.615453797    3.46101426     0.400512182    6.543546026    2.59115451     2.557235965    0.04308118305  0.5846272333   0.08750636633  2.794865197    3.993505278    0.3882526135   
146      I1         1.45797065     4.051475994    0.4982970698   3.510554258    2.427196573    2.636228703    0.1487569962   0.2677349479   0.8582101175   3.534598673    3.341423496    0.4289216239   
147      I1         2.015604476    4.340006431    0.4236479843   4.483330246    1.940662996    0.9442110338   0.07806752675  0.1272079571   1.065352096    1.540632098    3.233852795    0.6625508167   
148      I1         2.238629173    4.097849565    0.6496377459   7.319118968    2.722218755    0.9549404686   0.08164750147  0.8472865735   0.9494275619   1.659963926    2.90521082     0.3513738768   
149      I1         1.687080142    2.607015022    0.2218144169   8.075067109    1.461980135    0.9325462475   0.1179701646   0.5117011114   1.052900031    2.765156895    3.354118275    1.340453089    
150      I1         1.173719663    2.898175949    0.5611412147   3.870790833    2.344634375    1.219647113    0.06035872466  0.4234953171   0.03472394967  1.694550865    2.184364633    0.6185648541   
151      I1         1.548020555    3.409211214    0.9571056477   3.100769735    1.250377748    2.808181421    0.03072973543  0.8814514051   0.9985599325   3.39546586     3.843092745    2.039153713    
152      I1         1.054015108    3.5294187      0.09879715739  2.444885035    2.056846089    0.6580928671   0.04764389679  0.5320931399   0.8173697131   2.059283091    2.695180091    0.6611639559   
153      I1         2.322287052    3.984981332    0.959576483    0.8260366477   2.879844988    0.9915488433   0.107259387    0.6301692914   0.4263017062   1.870702062    3.620874661    0.5030422268   
154      I1         2.328908169    3.990657858    0.7043578125   3.947583228    2.118460741    0.8092529093   0.08588854384  0.9766911337   0.9379739558   2.950799372    3.906926207    1.006685767    
155      I1         2.568473146    3.129712463    0.2710913452   9.762333124    2.809632667    2.749921694    0.03382598092  0.4411706979   0.3983780758   2.283535229    3.674520734    0.2594310904   
156      I1         1.372990647    3.953829189    0.5206531373   5.43170614     2.708222162    2.30826782     0.07458020485  0.5513681537   0.7258100143   3.716966859    2.262850498    0.4934558047   
157      I1         1.712847891    2.574738898    0.6064335867   1.66206463     3.252204387    1.954016678    0.11389792     0.3804367289   0.8456961252   2.800846047    2.440910586    0.3153287528   
158      I1         1.631479492    2.79992798     0.375585762    0.9118954856   1.962177663    2.82906572     0.1453952282   0.2870600433   0.7483223193   2.627474876    1.607246571    0.6149965892   
159      I1         2.003370076    2.704478325    0.3211122996   4.031690719    1.00861831     2.418369112    0.1193087063   0.634265759    0.3003147161   3.417953627    3.570067559    2.293493143    
160      I1         2.089904313    3.099470384    0.0410973      0.269919655    1.003893925    1.471628046    0.06791723145  0.8611070217   0.7807094953   1.551003619    3.133873596    2.085362532    
161      I1         1.966159008    2.940992295    0.09140988043  4.73291236     1.60310236     2.641953581    0.03174583157  0.3538683822   1.02783512     2.624027152    1.873630192    1.119243542    
162      I1         1.192144908    4.150026687    0.07309836296  8.21236354     2.758841334    0.08169622294  0.04052699267  0.4867315553   0.1071325096   2.007469878    2.140084378    0.5241451437   
163      I1         1.36095806     4.423873866    0.4810012562   8.524852709    2.021685602    0.9107280868   0.1017755786   0.2749798445   0.7389822754   3.184723874    2.844118345    0.6662651801   
164      I1         1.916061424    2.592265989    0.3676463919   9.473516053    3.085206026    0.03056785033  0.02943106394  0.7975459506   0.9284503422   2.556732643    2.162741323    0.3318719916   
165      I1         2.50468192     3.263008308    0.8386562516   8.484580848    1.480940627    0.6400457287   0.0812636623   0.06872718229  0.118567577    2.709083788    3.00311401     1.8141603      
166      I1         2.576269462    2.534835404    0.9271647848   4.830118738    3.13509765     1.84108438     0.1214499092   0.8367988358   0.04360584002  3.051096568    1.877266227    0.5661798396   
167      I1         1.06004142     4.058214104    0.0765070186   8.435953095    2.90700152     2.279710228    0.1006790011   0.1632713979   0.6806126964   3.205042476    3.870811532    0.6105202496   
