%eval_id interface log__t_efold_soil log__t_efold_karst f_exfiltration_soil PDD_melt_factor log__H0_pdm_soil log__fdd_threshold snow_insulation_k neg_kge        
27       I1         1.792924469    2.676093945    0.09140988043  8.178379648    2.193889339    2.519998626    0.05896662108  0.4585336111   
28       I1         2.081827444    3.212217461    0.9217858182   4.125893078    3.099438063    2.191489839    0.05975538021  0.3168559262   
29       I1         1.45797065     2.636536642    0.2229116651   6.071087486    1.545737052    2.288660339    0.1077480783   0.8933435155   
30       I1         2.383075573    2.907100784    0.2134344194   5.757132868    3.123081186    0.5628485174   0.01423756624  0.427404319    
31       I1         2.120646476    3.916633348    0.05017522815  8.963357097    2.708222162    0.8787482662   0.06035872466  0.5287052485   
32       I1         1.24206557     2.886667382    0.6151645374   4.944730647    2.834014717    1.723537518    0.04727191486  0.47794832     
33       I1         1.653795976    2.975463035    0.1518104971   1.436661897    3.013027381    2.611092566    0.05489706461  0.6639737828   
34       I1         1.485629004    2.629395046    0.3424440375   1.296819446    2.465852426    2.506169062    0.056350559    0.4427549849   
35       I1         2.608649771    2.833115262    0.6663352558   5.056203602    2.427196573    1.201000777    0.04158747441  0.4471262411   
36       I1         1.75919981     2.713150076    0.9271647848   4.892884515    1.446415472    0.8457823901   0.03690582583  1.635453772    
37       I1         2.570099175    3.937053065    0.1717239359   1.507344602    2.444050761    1.163760157    0.1146199713   0.3420568502   
38       I1         1.871461564    2.824876514    0.1361219754   4.483330246    1.221372547    0.1497535972   0.001260128134 1.636874049    
39       I1         2.359968719    3.49614958     0.8542644272   3.782430276    3.319114535    2.354071449    0.09374511853  0.2215494965   
40       I1         2.227668383    4.300621351    0.8520991582   0.6298177523   2.241168634    1.621749119    0.04052699267  0.6997315836   
41       I1         1.944751552    3.696095569    0.4556091307   8.788631933    3.353508289    0.6312536895   0.01787790468  0.370595672    
42       I1         2.21752088     3.834027363    0.3780277471   1.584028923    1.418313228    2.34008766     0.1182758909   1.546897714    
43       I1         2.568473146    3.330417623    0.816280494    4.540892924    1.047151721    2.584485906    0.05584114343  2.268362086    
44       I1         1.270248705    3.506979987    0.1203424319   4.197736747    1.177098855    0.3357776212   0.07093832522  1.327608515    
45       I1         1.147936518    3.929424073    0.4040675495   2.389648818    3.072333524    2.749921694    0.1102222215   0.6171533021   
46       I1         2.390483718    3.561123879    0.1177187429   6.992921713    2.758841334    0.5579985483   0.0890400142   0.4564292855   
47       I1         1.877159204    3.711987165    0.8113882099   1.35251921     2.277838007    0.9325462475   0.01380381433  0.6167914429   
48       I1         1.531302643    3.960591709    0.6441586688   7.501175422    2.597092677    1.130821886    0.09260548561  0.3799632399   
49       I1         2.106987481    4.084743197    0.7106140872   9.262183006    2.709732812    2.122820228    0.08363169233  0.2561870638   
50       I1         1.975950592    3.020067921    0.1937842831   1.96484778     1.994259935    1.019835721    0.1141919901   0.5668988394   
51       I1         1.637441218    2.599698232    0.2787708775   1.619183891    1.439867681    0.4797401925   0.04800539459  1.234871002    
52       I1         1.781726666    2.835703771    0.5948640231   9.943839777    2.413884859    0.8092529093   0.05147925416  0.3620934041   
53       I1         1.631479492    4.238652031    0.7986998212   2.60429237     1.150951853    1.471628046    0.008682032382 1.803216804    
54       I1         1.954082153    4.126800681    0.2759104603   0.3255666208   3.268934483    1.50666141     0.03174583157  0.527162681    
55       I1         2.257081237    3.913315232    0.2846092456   9.336760321    3.327675458    0.5726606654   0.03756278062  0.5280918637   
56       I1         1.6059263      2.971723814    0.7543288554   7.554591966    2.30967844     0.6798772637   0.01556936816  0.5287364439   
57       I1         2.669316018    3.129712463    0.7479797478   8.435953095    1.325545665    1.18777878     0.06925048718  1.995538277    
58       I1         2.164084269    3.878690569    0.3645190706   5.943912963    1.772698782    0.7739220284   0.1323017535   0.9778095932   
59       I1         2.322287052    3.25755696     0.4440244283   6.009977074    2.072164906    1.29244494     0.1150234799   0.6456603298   
60       I1         1.274491319    3.742420556    0.346439444    0.269919655    2.636519966    0.8511505259   0.07553646231  0.5348766226   
61       I1         2.003370076    3.798781944    0.7293746783   8.244461875    2.522986541    1.581287851    0.1346089076   0.3056849226   
62       I1         2.499934239    3.76354968     0.988718817    7.906744585    1.456786115    2.856386784    0.1404722351   1.773443426    
63       I1         1.321814661    2.778420887    0.2580693034   7.13699363     3.224587603    1.064937181    0.04517364864  0.517592521    
64       I1         1.467501262    3.975416801    0.415143026    9.452573645    1.977510326    0.05316545939  0.03456908868  0.6005375167   
65       I1         2.152181115    3.901700714    0.680704075    7.437018435    2.579102672    0.07826459706  0.1244140398   0.2703728717   
66       I1         1.010710877    2.617877276    0.4518221431   9.154519875    2.642199533    2.713184863    0.05341632766  0.5976073806   
67       I1         2.167821931    3.984981332    0.1129324671   0.6924157453   1.284197725    0.3071230386   0.01883403802  1.718145703    
68       I1         1.419627759    2.940992295    0.226241653    0.5148381013   1.246293575    0.6400457287   0.01094030814  1.40643468     
69       I1         1.996228928    2.646811393    0.9440529674   2.553458432    3.262617504    2.677388137    0.1087771689   0.3861920128   
70       I1         2.621550885    3.77796477     0.7444982186   6.006115048    1.280921583    2.100051206    0.06282746917  1.96137559     
71       I1         2.047496987    3.748178647    0.08736951318  2.715494276    2.818463437    2.11031589     0.03857514919  0.553511606    
72       I1         2.430353726    2.671844913    0.7163051823   3.330466053    1.193691687    0.9442110338   0.006661763675 2.095950698    
73       I1         1.209466336    3.633560877    0.6190188693   7.720914576    3.290292393    2.914940838    0.1034858414   0.4927278662   
74       I1         1.3501715      3.20244509     0.4643679895   7.071226522    3.104595831    0.1025208663   0.09448922408  0.4536346613   
75       I1         1.950014581    2.781749931    0.6692030079   1.36328288     1.701845824    1.003517259    0.107259387    1.149575306    
76       I1         1.09845222     3.677499404    0.1592680332   3.56941665     2.133473607    0.8358146397   0.1222234057   0.6690290196   
77       I1         1.615453797    3.970689271    0.2298275059   6.239655006    2.212366261    1.334627821    0.1157933329   0.4821038657   
78       I1         2.576269462    3.305604417    0.7011329494   7.373662739    1.836978516    0.7823867631   0.0122890695   1.249829144    
79       I1         2.345442561    2.814107756    0.6496377459   6.769619037    2.65008772     2.788460005    0.05008414034  0.2336056901   
80       I1         1.446126842    4.137371732    0.7887137476   8.89132431     1.491200356    1.542572691    0.03209816459  1.308719236    
81       I1         1.58841181     3.949820751    0.8265532606   8.476879288    1.861005307    0.5191625367   0.02094499778  0.9575017546   
82       I1         1.435738841    3.15712189     0.6295473542   1.21687323     1.608363807    0.8830090945   0.1499043359   1.070404112    
83       I1         1.569678216    2.933302108    0.5488706548   8.731854044    3.404878084    2.30826782     0.06648024578  0.4065679512   
84       I1         2.089904313    2.915427134    0.3484845734   2.838477804    3.108573553    1.79248387     0.06391649303  0.4502341094   
85       I1         2.687353195    4.058214104    0.1926842945   7.956043475    3.191303062    1.946378618    0.1214499092   0.6566230479   
86       I1         2.532347989    3.78829318     0.5888620509   9.894516746    2.978344882    0.6116120079   0.03948204367  0.2900988371   
87       I1         2.52491466     3.163309721    0.1409515811   2.7769461      3.473081087    2.46884217     0.04125053284  0.7155664078   
88       I1         2.39721588     3.581341495    0.5854480101   1.734279805    1.723235656    0.7925340574   0.01960299896  1.317445356    
89       I1         2.560860465    3.227980779    0.246853168    2.96306762     1.621652019    1.048114983    0.08606677491  1.436573596    
90       I1         2.082954783    2.980463531    0.7373419219   2.756046349    2.797769219    2.154686661    0.1114727629   0.2257558852   
91       I1         1.028558637    3.172312953    0.6623060668   2.444885035    2.478401537    0.0900984373   0.1446931738   0.6432977262   
92       I1         2.438002296    4.279106544    0.651422557    6.485592167    1.414761457    0.9915488433   0.1386638276   1.649955342    
93       I1         2.026528753    3.535459893    0.7635570378   5.551266989    2.026400103    1.748765178    0.01109627483  0.7848451278   
94       I1         1.785592975    4.405322966    0.7768227551   6.382399742    1.845566438    1.934349709    9.727432544e-05 0.9341781314   
95       I1         2.192923017    4.155648467    0.8431180264   3.472139862    1.507124563    0.0684235601   0.1036996961   1.54268092     
96       I1         2.264016217    4.263533686    0.04564759294  1.104796521    2.093863026    0.04276918938  0.007217440345 0.6015135248   
97       I1         1.013126128    3.28918967     0.5821217126   5.034623237    1.303382478    2.896290918    0.008074676689 1.204600261    
98       I1         1.921021649    3.618028139    0.4791978633   3.234673667    2.861131824    1.769588324    0.1471054828   0.3969919111   
99       I1         2.412625696    4.027521548    0.6701648046   6.461216928    3.389490057    1.825624117    0.08441841163  0.3542277888   
100      I1         1.752531105    3.091747092    0.7513061837   5.279880397    1.051082731    2.815735903    0.1239153487   1.951520039    
101      I1         1.214426209    3.685852099    0.9375802072   0.7804949908   1.803966125    1.597288604    0.1316148959   1.29839212     
102      I1         2.015604476    3.825331428    0.09540675286  4.698557647    1.884912074    1.578399193    0.1334386651   0.6732375521   
103      I1         2.095449208    3.718143008    0.7043578125   4.385849245    2.493332816    1.908977151    0.1017755786   0.2865989154   
104      I1         2.631563387    3.435141085    0.6328426929   7.290965054    2.89194969     1.032210426    0.136419412    0.2621246959   
105      I1         2.690996676    4.220899615    0.8099838296   8.075067109    1.830520305    0.01162295839  0.09341669162  1.259392418    
106      I1         2.440831827    3.443673481    0.9061313741   4.609512709    1.58042406     0.2650815191   0.1082844461   1.617110715    
107      I1         1.886805977    4.390829881    0.06535929282  5.448511551    2.115564427    2.176902932    0.06204712668  0.4908091588   
108      I1         1.124056614    2.704478325    0.2976878525   5.596082035    2.25796207     2.733758634    0.09109090936  0.5922212292   
109      I1         2.611398778    3.101491135    0.6759921798   4.356625167    1.962177663    2.330095952    0.0696907222   1.013333507    
110      I1         2.144278275    3.500850289    0.9180832957   1.014452211    2.232400154    0.9842361992   0.04764389679  0.7775381159   
111      I1         2.318362611    4.371217077    0.791639623    2.701212951    3.241772057    0.6277961079   0.08794592371  0.22366039     
112      I1         1.841522265    3.307925728    0.9571056477   3.615506423    1.676479829    2.42293958     0.01833573221  1.373880858    
113      I1         2.134442838    3.141666179    0.892462806    6.644687215    1.598984007    1.306269226    0.1095678026   1.472636238    
114      I1         1.61770235     3.222474213    0.5685544666   4.830118738    3.019101867    1.079273987    0.04029515756  0.3369733392   
115      I1         2.351440729    3.34712382     0.3106671615   8.669905264    3.419538922    1.954016678    0.0008552778441 0.4520198766   
116      I1         1.017740675    4.320539252    0.8615087911   5.722193126    1.63169216     0.7488088268   0.08164750147  1.216722757    
117      I1         1.440934608    4.125273371    0.9397456248   4.678081359    2.241693435    0.4526808568   0.06347559222  0.8666510407   
118      I1         1.411379407    3.857509225    0.3040124925   0.860902123    1.404538636    0.3920191389   0.1173736155   1.18777944     
119      I1         1.035159175    2.772620829    0.4957952261   9.904127015    2.329722501    0.4478079514   0.06873411431  0.6225266036   
120      I1         1.395714096    3.379469036    0.5243620839   2.891925863    1.686690934    1.731797325    0.05528032943  0.8828025879   
121      I1         1.553596247    3.594813514    0.9751080515   5.127866693    1.944380043    0.1946785742   0.04626192783  1.132386987    
122      I1         1.882398971    3.233603688    0.358488549    8.695301592    1.071079148    1.179143481    0.0716988797   1.869299751    
123      I1         2.0490471      4.105508484    0.3290888779   7.577552967    1.024440164    2.076688286    0.09220557665  1.939878668    
124      I1         2.059382799    4.268194883    0.7411603891   7.989055411    2.9118966      0.2908891529   0.05435387762  0.2398301076   
125      I1         2.278140663    3.520394664    0.07309836296  7.206321713    3.486869295    1.090107223    0.01717460347  0.6164473043   
126      I1         1.185922271    4.468769744    0.8757972593   6.12550125     2.59115451     1.643819406    0.1179701646   0.700854982    
127      I1         1.073465582    3.137700111    0.9795937024   6.360435239    3.429298578    0.5089844551   0.06791723145  1.136109927    
128      I1         1.851278613    3.316462098    0.5415854781   1.697965596    1.638446769    2.474231474    0.07402688179  1.068251796    
129      I1         2.58843912     2.718925771    0.4982970698   5.219617476    1.381958552    2.931356019    0.122824631    1.819171407    
130      I1         2.040856682    3.17860536     0.0765070186   9.508499215    1.824274491    1.81944132     0.138338759    0.7517214361   
131      I1         2.653548078    2.690692715    0.8413093938   2.279544782    1.147569146    2.655143389    0.004779192958 2.232793981    
132      I1         1.844801891    4.299857137    0.8883672173   7.818359784    2.105967358    2.16871945     0.02675162771  0.734652224    
133      I1         1.06004142     3.370824246    0.6976976822   4.265448546    1.352014837    1.056264736    0.003903155023 1.348623272    
134      I1         2.633004722    3.418420474    0.5079141114   5.36997952     3.197354727    2.147597979    0.0991543026   0.4445073948   
135      I1         2.648251375    3.705198187    0.5722285074   9.796473107    2.83230492     1.104831343    0.1206360834   0.2822922714   
136      I1         2.484835303    3.728736281    0.3318330314   5.302236487    2.162010487    0.2850253207   0.03547913378  0.6080660853   
137      I1         2.464753117    3.603153875    0.5576689306   0.7145979613   1.796412673    0.3600978332   0.147721456    1.231188307    
138      I1         2.300285292    4.000328189    0.8293473716   1.167673099    3.126281054    2.483840678    0.02276182423  0.2354706988   
139      I1         1.192144908    4.24155949     0.8467527811   2.109461332    1.971929697    1.973124858    0.1049649774   0.8905918225   
140      I1         2.365250111    2.79992798     0.06656576261  0.7974237599   2.264316737    1.853523621    0.1420849411   0.4212983498   
141      I1         1.644514978    2.561105748    0.375585762    9.105357257    2.000992086    2.779878487    0.08706012101  0.5241339659   
142      I1         2.615915018    3.448328167    0.05864020858  2.630568476    2.321672101    0.1771806423   0.02999640266  0.4392849091   
143      I1         1.08303467     3.009794435    0.4607081312   5.197905472    3.409753172    0.3263976803   0.004064029231 0.5543403846   
144      I1         1.724984263    4.092156454    0.2884011027   7.759167438    2.42140412     0.8626902762   0.007965774779 0.38664992     
145      I1         2.128226823    3.953829189    0.2035802409   3.548803977    1.201612547    2.232011366    0.14691093     1.751557622    
146      I1         2.328908169    2.937303238    0.2218144169   0.6072840908   2.218038965    0.9277984407   0.03749183454  0.5023351467   
147      I1         1.130114072    4.493602656    0.526658302    4.300063791    2.803990828    2.530075828    0.064201974    0.5597016144   
148      I1         2.581864559    4.457955617    0.2183917883   2.158628529    2.07809845     1.080531507    0.1339448981   0.7146004532   
149      I1         2.656310536    4.485577177    0.1820892142   8.370694267    2.789223225    2.941560085    0.08342655688  0.4660463564   
150      I1         1.168907969    4.291688321    0.1741324481   9.217650397    1.901236105    1.55159541     0.08255454558  0.7011854708   
151      I1         2.179476688    4.144689943    0.6564252747   4.52138942     2.344634375    0.125918752    0.05192451004  0.4013909448   
152      I1         2.259430362    2.641480856    0.7712621563   8.573507468    2.175461232    1.275862566    0.06458258059  0.6579715058   
153      I1         1.428718011    3.882876357    0.2089578086   2.004962762    2.90700152     2.863166606    0.1296365363   0.7160073658   
154      I1         2.174533859    2.606103003    0.05466877521  2.973687367    1.791038018    2.252916831    0.1256033438   0.8665350855   
155      I1         1.374139832    4.453329428    0.5522626128   8.048874626    1.991294021    1.282237018    0.1307055672   0.6134966741   
156      I1         1.548020555    2.699058015    0.3828402982   3.272163128    2.874956493    2.543233006    0.1164302559   0.4642956045   
157      I1         1.472482956    2.74267134     0.7147995907   9.402470267    2.606159173    2.831083725    0.1044387499   0.389992191    
158      I1         1.38476364     2.592265989    0.5941336885   7.228198565    1.431307669    2.387401229    0.02160996852  1.203591955    
159      I1         1.293718556    4.315529596    0.6236486632   6.922597836    1.078360011    2.324995802    0.09819502241  1.590648694    
160      I1         1.66579508     3.043160622    0.7574143314   2.852261451    3.085206026    0.6937720412   0.07676183645  0.3195617848   
161      I1         1.248941289    4.036478649    0.6889745238   1.41121099     2.989464185    2.641953581    0.1457168708   0.4756837612   
162      I1         1.143318514    3.115081163    0.9640046122   5.011605948    1.136100637    2.66482792     0.1013613854   1.919596304    
163      I1         1.801323509    3.120052013    0.7967770558   4.43687179     1.215000009    0.1600413116   0.08588854384  1.838050609    
164      I1         2.557817526    3.620247636    0.2380694158   8.21236354     1.746690328    1.837911998    0.1053034207   1.195382889    
165      I1         2.422002096    4.189910169    0.2668311274   7.634728321    2.171681009    2.085900255    0.01273689808  0.5613918328   
166      I1         1.372990647    3.05196134     0.03187726387  1.601523929    1.461980135    2.929566737    0.002764105817 0.9568992168   
167      I1         1.648138288    2.526087611    0.7832098883   2.233874507    2.974863686    2.409107881    0.0311459075   0.3332656113   
168      I1         1.807474017    2.572877885    0.8647982802   4.798964461    1.232927153    0.1125485507   0.05295079616  1.86945044     
169      I1         1.693121143    3.480112307    0.2826624194   4.073278636    2.750343006    0.1824001612   0.03276470079  0.4095928614   
170      I1         1.309835618    3.64820331     0.4907157296   2.073629794    2.437729066    1.116302786    0.1438532757   0.4946779121   
171      I1         2.408819711    3.46101426     0.2332132392   5.495130571    2.628419032    1.719654947    0.08865237074  0.3575452721   
172      I1         1.326381695    3.84290054     0.8684441726   4.135522521    2.371240352    1.268531587    0.1368455382   0.6942572173   
173      I1         2.336678545    2.662490803    0.3373714494   3.100769735    1.956814551    0.9705015299   0.02126082258  0.8392222878   
174      I1         1.329635181    3.381479204    0.5129094329   4.73291236     3.13509765     1.026246283    0.0399658779   0.4478795863   
175      I1         1.499907384    3.589662688    0.3936567825   5.407307661    1.739699897    1.631732487    0.04214104853  0.7894252206   
176      I1         1.221286098    3.240139305    0.3506061447   9.581427455    2.011992585    0.03056785033  0.02533462494  0.6263192376   
177      I1         1.705887567    3.295103189    0.6035682808   8.936535391    2.732005404    0.3706228277   0.1122863934   0.3305423179   
178      I1         1.905255055    2.549476557    0.1609239027   0.2471027414   1.293505062    1.402177016    0.09989284946  1.563224325    
179      I1         2.592783879    4.334131983    0.2100086081   1.929713924    1.529614483    1.525212205    0.1055720617   1.507143391    
180      I1         1.105703563    3.281416285    0.8577942566   0.9593261186   2.394185757    2.707680943    0.1373034318   0.7788336222   
181      I1         1.6989671      3.544451785    0.5808768799   5.673879639    1.897301616    1.418535867    0.0812636623   0.7143366002   
182      I1         1.769000019    4.112137624    0.758768983    0.1129382584   3.234140563    2.43624943     0.1378414459   0.3504612531   
183      I1         1.687080142    3.55773209     0.06935178189  8.13697614     1.65885405     2.721928601    0.1272246371   0.7967300787   
184      I1         2.451218561    2.540429602    0.8843081683   6.74857966     3.175876488    0.6844135726   0.005858547319 0.2926485875   
185      I1         2.471193562    3.575342183    0.6901710945   3.171506859    2.406040775    1.708099144    0.03003352471  0.4309355794   
186      I1         2.231535246    3.772903279    0.8208800235   2.119467852    2.558247824    0.4641253486   0.02649632335  0.3852551961   
187      I1         1.23030736     2.954449181    0.2433909221   5.085836127    2.358244509    2.495219492    0.08012883658  0.5815412747   
188      I1         1.487877155    3.829369201    0.9286045323   1.043329762    2.152339422    1.199399624    0.1094759222   0.9395121069   
189      I1         2.601462023    3.182520664    0.4849303703   1.542269166    1.358549377    0.8916733069   0.1301537977   1.894883138    
190      I1         1.278399449    3.356414946    0.2621772818   5.820875969    1.27487813     0.3179425899   0.1291888112   1.236569134    
191      I1         1.578950539    4.202669299    0.4236479843   5.846640824    1.065689614    2.020288247    0.08510793925  1.67813681     
192      I1         1.179220201    2.658902       0.2724680051   9.290806578    3.395829612    1.750631578    0.1493936339   0.6282493119   
193      I1         1.251983061    2.574738898    0.1048459823   6.222284026    1.04091464     1.788387284    0.09766720969  1.455513842    
194      I1         2.218732135    3.403105877    0.7657031035   4.190495188    2.855610018    1.656833015    0.1249108881   0.2137334657   
195      I1         2.515934321    4.463382181    0.241758991    9.762333124    2.574071343    0.598009624    0.04889808707  0.3276045583   
196      I1         2.001021493    4.097849565    0.8066091071   1.070356368    2.056846089    2.636228703    0.02342175035  0.7460268332   
197      I1         1.566175135    4.444794709    0.1263474312   1.81257532     1.649175722    0.6580928671   0.05756440177  0.8646849538   
198      I1         2.250696324    2.58569609     0.4092313068   6.586008373    1.259666949    1.398754242    0.07288007373  1.822859417    
199      I1         1.912023774    2.751589613    0.6084472201   4.573291518    1.00861831     2.003047198    0.1261236385   2.026936735    
200      I1         1.048550442    3.888847421    0.1381446722   2.507284945    3.152439904    0.3565518354   0.1166984814   0.7445094766   
201      I1         1.117570384    4.382441872    0.4264992985   7.597962029    1.524696469    1.568241679    0.1061370213   0.9441973094   
202      I1         1.731569625    4.009210003    0.405330441    3.167342921    1.37185977     2.557235965    0.07377807014  1.32661169     
203      I1         1.448248883    4.409835728    0.3792242899   4.233359989    1.171425871    0.275915598    0.09019470698  1.493720127    
204      I1         1.608026369    3.325932068    0.9848929533   3.367361355    3.313795598    2.525969756    0.03596113809  0.7392300632   
205      I1         1.094910471    2.857393439    0.5696627217   1.879921363    1.238420689    0.437627133    0.120419034    1.387302075    
206      I1         1.900518864    3.00061826     0.1212022547   4.774681279    2.500565311    0.6028517103   0.1108306007   0.4276978769   
207      I1         2.401964074    4.076230638    0.5309114694   0.4439024378   1.498037827    2.6069846      0.1288272687   1.565935846    
208      I1         1.090234516    4.329415751    0.8022584965   5.530253552    1.105205127    1.980010656    0.04914827806  1.657490286    
209      I1         1.130485142    2.512574508    0.3182065859   6.083045783    2.086854759    0.2336984371   0.08245133542  0.6183312778   
210      I1         1.388119901    3.643957664    0.437946816    0.5442024497   1.708535756    2.757452028    0.009344382287 0.8100779254   
211      I1         1.201486251    2.554657491    0.400512182    3.858926126    2.545055544    0.8296961844   0.07009086117  0.5146134614   
212      I1         1.980854117    2.623863145    0.545684043    3.673327095    2.274839424    0.1367172028   0.03646204102  0.4135747855   
213      I1         2.207471669    2.534835404    0.2920256757   9.409478913    3.252204387    2.873852       0.04999638205  0.5245202112   
214      I1         2.198235502    3.80899276     0.9203800255   6.624434712    2.514174748    1.144369178    0.07727847399  0.4854779698   
215      I1         1.173719663    4.17400561     0.5206531373   6.17371461     1.571553906    1.617013795    0.01636706472  0.9831676998   
216      I1         2.662053355    3.038498826    0.5611412147   7.675855246    1.940662996    2.139053682    0.03382598092  1.059119044    
217      I1         1.40748976     4.051475994    0.101792923    7.173850679    2.809632667    2.045497295    0.1314467595   0.7945858666   
218      I1         1.776181637    3.607466472    0.8990153957   8.484580848    1.777746471    0.4115593231   0.06595564089  1.142833219    
219      I1         1.160359321    2.94971948     0.4627937077   0.3626207292   2.954540297    0.1534479042   0.1407000014   0.5393558861   
220      I1         1.495748023    2.50588423     0.1282105867   7.017982584    3.227917831    1.883500078    0.06107634863  0.5884439251   
221      I1         1.831380639    4.217247809    0.3915069734   8.344831779    2.382037405    2.038714769    0.1025962466   0.4063204494   
222      I1         1.336394339    2.992132212    0.08409511252  4.880365191    3.338747583    1.465130537    0.04308118305  0.6204716688   
223      I1         1.506686259    3.818600949    0.6842847913   0.7461396      2.998655887    2.099313077    0.07995046568  0.3773999977   
224      I1         1.076284249    4.340006431    0.7259872373   7.038546648    2.562013987    2.185054212    0.1359590119   0.5873831324   
225      I1         2.010439953    3.783744893    0.3154184469   7.319118968    2.613664428    1.53415626     0.1069470298   0.4132043982   
226      I1         1.460345995    2.731863508    0.3102496721   5.89654224     2.451256275    0.7377280649   0.1195602502   0.4500194031   
227      I1         2.274434238    3.517767781    0.8975694465   5.43170614     3.035608735    2.698876829    0.005446207663 0.2661003755   
228      I1         1.36095806     3.338107622    0.4810012562   9.711192326    2.146468633    1.672257695    0.1353119769   0.5301949261   
229      I1         1.682175143    4.309644018    0.5365189733   9.197663091    2.917941484    2.391003601    0.1414414443   0.4346377386   
230      I1         2.458476031    3.278168673    0.870526132    0.1386105809   3.462008224    2.279710228    0.08678170038  0.3669355563   
231      I1         2.511396034    4.434247581    0.07914671067  4.031690719    3.495797662    0.7671652038   0.11389792     0.8062028113   
232      I1         2.698319731    2.517951387    0.9473977662   7.118624855    1.537205327    1.42469947     0.128321734    1.791254746    
233      I1         2.061125029    2.99803649     0.7211783123   7.737792291    2.667210267    0.5472044675   0.03320550532  0.2707722687   
234      I1         2.475966423    4.150026687    0.2710913452   6.886137169    3.2927213      1.44978291     0.1482598959   0.6346456854   
235      I1         1.572472806    4.476620445    0.641496781    6.414013601    3.349541171    0.7142410113   0.07313301848  0.3409170297   
236      I1         1.662142075    4.162871325    0.5998100814   3.895980756    1.654667201    2.566400366    0.07458020485  0.9605187168   
237      I1         1.969443469    3.990657858    0.4302310682   0.2099850582   3.36549056     0.4971133729   0.04422439376  0.4329401336   
238      I1         1.988003539    4.375989962    0.6365670813   3.407560487    1.591183241    0.8112910144   0.06532171238  1.258315766    
239      I1         2.122242053    2.867785047    0.5148475791   6.530355773    1.472590742    0.002885718371 0.1003988223   1.481084318    
240      I1         1.399648779    4.061261418    0.2530511585   2.916113654    3.482214741    0.4248659025   0.1453952282   0.608091359    
241      I1         1.746500615    3.398219087    0.3707704154   9.850765605    1.814970212    1.352429296    0.05710600213  0.7538725796   
242      I1         2.550647614    2.528528489    0.3239003841   6.314711872    1.913170479    0.5326143292   0.09056209869  0.9797058372   
243      I1         2.50468192     3.549620411    0.518568485    5.332589335    3.163750544    1.256811856    0.01159171013  0.3276719251   
