%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil log__fdd_threshold snow_insulation_k f_tile_soil    log__tau_tile  et_alpha       wp_soil        wp_soil_sigma  neg_kge        
26       I1         1.505239601    2.689725624    4.340212492    0.8944457742   0.2819903394   0.9572361427   3.223977752    2.763348196    1.294458446    0.01615721326  0.7707050809   0.3633360685   0.8430564775   216.5603802    100.3050393    0.8261733219   
27       I1         1.162721522    2.578719527    3.674383694    0.8096779854   0.03786302582  5.08417707     2.0700329      2.119979409    2.293868333    0.138283092    0.3105458958   0.7080915252   0.4279568537   71.35823025    110.5618938    1.443560977    
28       I1         0.460359321    2.208117891    2.681218689    0.9462985109   0.5132588444   8.49266892     2.214667896    3.139612559    2.301877893    0.1491861014   0.1976141502   0.3999579996   0.522273066    289.8714318    78.62249408    1.942137046    
29       I1         1.160758497    1.950323918    2.666142613    0.6853682706   0.6631821369   0.701920532    1.403687279    3.208521763    1.333829325    0.1267526937   0.06079210122  0.1851418663   0.1045218009   33.94472467    115.6113513    2.149619672    
30       I1         0.4737196634   1.840114       4.334839097    0.8847277457   0.05394717492  9.583711601    1.794064947    1.204925547    2.614031237    0.02145296832  0.04873912878  1.047264785    0.1280086108   239.7247785    37.28663129    2.354473013    
31       I1         1.559430362    2.644110444    2.628772169    0.7522225039   0.3251547208   9.082364385    1.890272128    3.268006597    2.152566392    0.09788967312  0.1812863391   1.145423264    0.9158970257   176.1178242    35.11533465    0.7581444434   
32       I1         0.9080263691   1.686736869    3.794201365    0.7218329044   0.279182846    2.596206367    3.120410618    3.408527915    0.9031442155   0.07990882004  0.5564634849   0.7714309101   0.07342330204  158.3233544    20.59730867    2.25257613     
33       I1         1.708819711    1.496423881    3.223508307    0.2011009297   0.1739787854   0.7424392947   1.272784412    3.402387101    1.749542058    0.1216819218   0.473291316    0.697671436    0.6568569629   283.4458617    50.04398872    1.525961752    
34       I1         1.459552999    2.51442489     3.27268924     0.8661838949   0.2448017307   7.899259404    1.441605389    2.895857416    1.815467744    0.09632963381  0.08557519204  0.834647728    0.3565897536   15.0274152     123.0154418    1.814525615    
35       I1         1.931563387    2.066444463    2.875069965    0.5950280336   0.7991067335   8.799554718    2.406973527    2.186886715    0.7214708024   0.01529024303  0.04964967959  0.4452232619   0.8753873452   88.86902843    101.4788116    0.4910015811   
36       I1         1.682335925    2.459660638    3.554404698    0.152770079    0.01337837752  3.090635965    1.056579247    3.203180992    1.634907673    0.07610004361  0.4295537466   0.3540794997   0.6721051003   266.5575895    139.0338491    1.645371906    
37       I1         1.962053355    2.347031718    2.538278452    0.03765811168  0.1505513559   9.526076387    2.229634502    2.262460035    1.685981404    0.1472029868   0.8116917511   0.4217274839   0.2555399919   84.43248194    100.8900581    1.758272762    
38       I1         0.6741398318   2.432352504    3.721320857    0.8202279181   0.2682707875   8.24717916     2.431475731    1.971433464    0.7005035309   0.09491497111  0.8439349819   0.2952049197   0.5562251556   286.7252149    24.30342942    1.729747117    
39       I1         0.9481382881   2.175444903    3.593232741    0.1946010934   0.2340491312   0.5941868708   1.182338469    2.271710607    2.076542515    0.08098445679  0.6121200637   0.008649165397 0.8373904939   17.49402059    128.6742833    1.431132644    
40       I1         1.315604476    1.47684756     3.876091411    0.3820957175   0.3871736439   9.767570232    1.882513269    2.69185039     1.546148052    0.1375507988   0.4594538047   0.676565623    0.04238137433  95.60105513    11.87255685    2.41008231     
41       I1         0.8971714963   2.372407311    3.370947356    0.5574533339   0.02603853883  6.001678038    3.297357431    3.35714094     0.5531455319   0.001738055599 0.1245901362   0.1687750622   0.7499759756   54.63614399    13.22902705    0.9679485183   
42       I1         1.507471669    2.318754595    3.349998568    0.2137834302   0.6121861275   4.063302564    3.233827472    2.60168121     2.768704273    0.0218276206   0.6195440022   0.7212247057   0.3349959315   264.3674147    85.61418893    1.647026393    
43       I1         1.171461564    2.262234132    4.25617578     0.5249688643   0.842247825    3.013930012    1.951766702    1.522777782    0.09090039181  0.0824173819   0.7874419474   1.034462462    0.9201609847   250.7947335    115.1357062    1.057070712    
44       I1         1.784835303    1.40414358     3.469245654    0.4033144509   0.5233939486   7.868435783    1.067733821    1.155328901    1.772981264    0.07305322574  0.411158342    0.1001105378   0.7415996947   192.8457483    91.36376575    1.637557451    
45       I1         0.9931211435   1.740200609    3.692109568    0.4085227492   0.4753711493   9.604909417    1.349083296    1.262906097    1.47710421     0.06466239846  0.3623437924   0.9882857728   0.8033266019   46.58852828    45.06478783    1.404682648    
46       I1         0.5489412889   1.239487442    2.725188637    0.6297198519   0.5475262182   4.126543821    2.903199835    2.389286753    0.4385629533   0.0209033312   0.02594052289  0.4572744249   0.2721933047   295.6007116    142.2868439    1.86558238     
47       I1         1.953548078    1.382261558    2.693563229    0.8351751549   0.02016356509  6.01519677     2.583368745    2.136034172    0.07604404791  0.02302040809  0.3871849257   0.9357045396   0.1735440311   166.7754327    65.8092255     1.99116613     
48       I1         1.467821931    1.231727704    2.965447787    0.1586357021   0.9142553178   2.089410644    3.359789056    1.96069881     1.861238947    0.0751875541   0.9172046298   0.8006618668   0.03087802036  67.91504637    108.8519143    2.019202915    
49       I1         1.101323509    2.547458364    3.362561772    0.5763089343   0.2536875913   5.814931171    1.379363737    2.868630388    0.6458957316   0.0801661953   0.7738028734   0.6330576843   0.3873713342   108.4394303    52.39328815    1.814083635    
50       I1         0.408544849    1.963526746    3.481052509    0.5279734897   0.3355639597   5.308717337    3.07356733     2.426668627    0.3588761318   0.03807627054  0.4285015063   1.069116391    0.6762465252   60.0347867     142.8385512    1.461806813    
51       I1         1.257981942    1.1350667      3.647405117    0.307045893    0.4707808031   2.777260348    3.498405599    2.423435512    1.671954314    0.02862124062  0.5061690206   0.3593809626   0.5161526048   130.8807823    146.4933453    1.199612082    
52       I1         0.8535962471   2.056057473    4.064944398    0.9711978667   0.622309483    7.662693208    1.666097965    2.359493885    1.380947417    0.06971990417  0.545667109    0.3341978313   0.2121592393   251.2765347    48.87674986    2.20837031     
53       I1         1.221021649    1.213851171    4.012869763    0.2089163743   0.2317561964   8.654259139    2.108004096    2.107063431    1.58014643     0.07173282166  0.462568454    0.5323531659   0.3899497299   187.3301814    126.7559389    1.600451353    
54       I1         1.758476031    2.499003633    3.59973603     0.6890713407   0.9190928976   4.019669975    3.489893899    1.645028268    1.34553627     0.04593195816  0.144240162    0.4134329039   0.7329417362   280.0474125    58.96128416    0.9753762865   
55       I1         0.7113794074   1.81166574     2.528631855    0.5316747404   0.4484366104   3.042521913    1.390362506    2.292174524    0.7861641783   0.07477713693  0.1173897047   0.01546111653  0.4397371206   297.5971602    38.74407375    1.803197522    
56       I1         0.3830346702   1.684763754    3.584868323    0.9534866534   0.05124040972  5.656863288    1.857987569    1.759287404    1.180520624    0.05968760058  0.9874280903   0.9540968227   0.7980527263   16.99892591    143.0339996    1.963255738    
57       I1         1.040563043    2.161198875    2.789409178    0.02088740981  0.4931008605   0.4714102173   2.017939144    3.456802693    0.5348479728   0.1475647042   0.2347541286   1.094542369    0.9221477271   58.65270635    19.59041839    0.8620295848   
58       I1         0.3734655823   1.400965242    3.929824668    0.6421091236   0.5857182627   2.118319626    2.759534361    3.343770872    2.710810701    0.03355698545  0.8929566989   0.2572107485   0.3416544931   259.9460817    40.64203456    2.195706782    
59       I1         1.13489634     1.236657754    2.872825091    0.5146411477   0.4965381045   1.957400108    1.097642455    1.252843642    0.3215827732   0.1251213004   0.7031338404   0.5949534802   0.7081101895   258.1525259    35.02323356    1.826100917    
60       I1         0.7482488826   2.382780579    2.710066259    0.8496504772   0.7171644045   0.6846961195   1.819137968    1.298031831    2.415689166    0.07204856641  0.9739969046   1.0737144      0.02946263402  164.3407286    43.24088594    2.434633659    
61       I1         1.269443469    1.975972814    3.885662293    0.4393065005   0.5982216018   7.952141837    2.034118778    2.971593543    2.595281567    0.007066478667 0.4786041716   0.3476685569   0.5514652209   35.58086342    111.9813481    1.212092848    
62       I1         0.5212860984   1.322749343    3.717211402    0.5837991308   0.633732568    9.33223508     3.128904574    1.289431211    1.465783531    0.0958065265   0.827271622    0.6152628807   0.6234387048   288.3661397    53.66974572    1.741060897    
63       I1         0.4057035626   1.914040856    4.20024087     0.1985720714   0.6483402606   4.715888998    2.859344672    3.061432593    2.917611902    0.09170936322  0.4989811455   0.01946782242  0.309409327    255.4265864    144.3740013    1.894984752    
64       I1         1.841418893    1.831704451    4.166435226    0.6064637601   0.4473012554   6.216627951    2.243003414    2.778143438    2.736030743    0.1410971132   0.9058126936   0.178918675    0.2474403765   82.0037179     8.833642187    2.077916894    
65       I1         1.69721588     1.588301778    2.741246095    0.8162194583   0.7449829453   9.688580275    3.273656866    2.735927215    0.0002912862599 0.09090044399  0.686605707    0.4912435575   0.192963823    69.59130147    17.0815991     1.908046593    
66       I1         0.3677524232   1.563813263    4.460416691    0.4360845678   0.04071712417  2.631645173    2.465765395    1.225224278    2.002682596    0.1087171668   0.4546517614   1.088634025    0.2138152013   180.3943787    139.7599017    1.927326356    
67       I1         0.5094663364   1.654378836    3.391570594    0.3205776368   0.6290082472   5.939641469    1.814968118    2.701188449    0.5711883095   0.1486411353   0.5647032707   0.7146338841   0.4756270647   201.4227439    99.54990316    1.712637638    
68       I1         0.7409346075   2.422904768    3.246093392    0.6968460319   0.8820383405   4.675868525    1.111029395    1.390489932    0.4472386942   0.1397760005   0.1333259239   0.5279416934   0.9424454385   143.4932275    132.8840866    1.653012952    
69       I1         0.5702487049   1.522818988    3.048511995    0.07736213041  0.1081480773   8.751343945    2.728328268    1.485167692    1.455732553    0.05944337844  0.9488494461   0.6833664785   0.8772909439   163.7925774    71.7936162     1.528292231    
70       I1         0.3052678245   2.436423644    2.851202478    0.9243459712   0.653742217    8.449250233    2.088695206    2.49836251     0.2488491971   0.09374300543  0.4565617958   0.3180429239   0.3197382143   136.2890771    28.58621992    2.278826362    
71       I1         1.347496987    1.181177565    4.095182904    0.9569122946   0.2956648772   6.61131203     1.636511103    1.856161031    1.712251941    0.04040964973  0.8670302222   0.7980652064   0.7290964634   233.2402561    36.05465772    1.36743144     
72       I1         1.876269462    1.423331016    3.868783827    0.2421199327   0.5031211313   4.934930773    2.929888882    2.28910495     0.6646595126   0.07719453959  0.9417198656   0.03946107718  0.07951458074  78.33217698    82.32559012    2.262708284    
73       I1         1.230764125    1.448917371    4.153250314    0.1603838599   0.9883526835   4.999514334    2.795801305    2.860353168    2.637092678    0.04983819246  0.7015569085   0.8628148921   0.7237910725   62.14087505    1.312429028    1.172235151    
74       I1         1.254082153    1.607062876    2.719834169    0.7246198575   0.2602711335   1.447753494    2.390442615    2.824418855    0.3916544408   0.1408629351   0.06360316821  0.1351302693   0.5693959032   225.2969496    148.5157235    1.114955474    
75       I1         1.126024947    2.480325566    2.702744019    0.6251937004   0.1659209448   1.905774743    1.065052584    1.173553491    0.1523532814   0.1120714863   0.3020887972   1.008072657    0.2412752438   183.579643     109.1216357    2.181990067    
76       I1         0.5303073602   1.937680794    3.128993032    0.03232881701  0.1790726062   2.418285222    3.065255811    2.211916722    1.557954772    0.1177357849   0.7292037046   0.7475864057   0.5882392675   237.858414     77.46299129    1.504115158    
77       I1         1.614376697    1.833095461    3.624777989    0.2482968935   0.4874712745   4.310346469    1.687508881    3.340906641    0.5020564354   0.04343039805  0.2563513162   0.2394011773   0.4563719388   115.2187251    6.676625007    1.676157682    
78       I1         1.908649771    2.407301197    2.563463878    0.7102397642   0.8969460614   5.071982654    2.709937443    1.862549122    1.601903289    0.01484563099  0.4401880427   0.9789015511   0.1373017252   121.0194691    98.25942654    1.88079191     
79       I1         0.4301140715   1.022174469    3.653744343    0.5496203686   0.8469582789   2.28079469     1.368960192    2.378034994    2.987024659    0.003959483338 0.8305988256   0.6130800588   0.5178435181   11.49049305    50.62359746    1.927542254    
80       I1         1.326528753    1.090187553    2.510864016    0.03961106068  0.465508111    2.908796736    2.812952815    3.433414177    0.4238099832   0.1415581721   0.1612066206   0.8990574732   0.6859484458   133.2170627    110.2436312    0.9361610436   
81       I1         0.8239859326   1.461686529    2.687332496    0.08532162429  0.3909964414   2.212150905    1.184937914    2.172766012    0.4869840462   0.02997339331  0.5872493791   0.8189964398   0.2617624237   89.00916657    107.2709286    1.919515624    
82       I1         1.969316018    2.035421557    2.992332302    0.04404286758  0.5895334026   1.177112345    1.354347043    3.194220867    2.527349857    0.07882172853  0.3554390408   0.3827398802   0.510262203    253.7252663    101.6713517    1.659552144    
83       I1         1.836356129    1.015258679    4.264413472    0.4342557839   0.7761797963   7.187073331    1.675449878    2.935104045    2.624843539    0.02616645316  0.4380698011   0.8670828814   0.8680240852   223.5733309    54.68360485    1.069989083    
84       I1         0.787877155    1.487467654    3.27858566     0.4476728921   0.09677803858  8.050056009    3.357357405    2.045882765    2.143950926    0.1128200986   0.4949188907   0.8451018042   0.8931617745   282.421587     116.9159987    1.068215725    
85       I1         0.9870801418   2.58541142     4.077979364    0.7300191398   0.8689908005   1.373626406    1.702350809    1.342279879    0.3851938745   0.06340395858  0.7825480821   0.06283780197  0.9023544862   274.6016455    88.6023816     1.343552274    
86       I1         0.7357388406   2.095049203    3.395581343    0.8532681676   0.136307493    6.895136135    2.992670836    1.215646383    1.168346617    0.08160294685  0.4327708627   0.9509356039   0.4959285621   199.8774711    75.85416979    1.615775863    
87       I1         1.51752088     1.084743497    4.109591472    0.6396962211   0.6674393617   5.190489881    1.939175983    2.352832246    2.195951212    0.004240033761 0.6953595818   0.3090225231   0.8263538348   159.9125031    95.35391723    1.044154659    
88       I1         1.645442561    1.157178291    3.100025495    0.6558531331   0.5329572475   5.736727176    1.946876391    1.792332947    2.032463809    0.02524440821  0.06732873272  0.02840962553  0.1109480392   105.8808473    133.8995083    1.957646625    
89       I1         0.6218146609   1.120258727    2.581990262    0.179527658    0.4526974088   1.040583558    2.898298667    1.740149438    2.430498278    0.1456938673   0.1095229231   0.8873449466   0.8958899706   34.16127085    77.71048805    1.122175658    
90       I1         0.5744913194   1.394356037    2.824612651    0.6817590328   0.4543216541   7.652579117    3.479283269    2.080113807    1.833492953    0.04810559809  0.9029952829   0.6758261287   0.9747565672   261.614159     36.38261066    1.650316123    
91       I1         0.7675012623   1.732391951    2.863239585    0.7000810092   0.6425564559   5.162715657    2.16818102     3.285560582    0.7445761725   0.05588835453  0.3780327417   0.5232900657   0.2819422969   0.8604187176   6.377303349    1.833540088    
92       I1         1.303370076    1.303784423    3.217801873    0.7740396554   0.7659888071   8.703049179    1.474446234    3.265437414    2.129938298    0.07660801036  0.823001159    0.1083247658   0.6892740387   157.7737179    135.6549502    1.587022703    
93       I1         0.7999073836   2.201317947    4.042251232    0.3991976672   0.1289259313   9.035347113    2.134421948    2.52179607     0.4924472402   0.04701211373  0.2079480975   1.030198957    0.7172116056   53.21825771    103.7130427    1.185749823    
94       I1         1.583172998    2.488531847    4.284302384    0.4961993767   0.182428131    6.440097854    2.54342476     2.544833167    2.557728449    0.07059676391  0.9187269618   0.5493153364   0.813601637    219.9554628    9.24958681     0.9081842691   
95       I1         1.205255055    1.063528064    3.845312261    0.3334357705   0.6953665752   9.807148281    3.40027001     3.119847745    2.101459796    0.02442503688  0.5178765431   0.789941181    0.4606135479   190.5913181    43.86312103    1.537923112    
96       I1         0.8192857502   1.010688332    3.681351124    0.2366521052   0.5312512202   0.2008739061   2.047124486    1.419699664    0.02365816283  0.1300090171   0.4182719554   0.668989962    0.8909158906   37.34946969    36.93284963    1.179449578    
97       I1         1.987353195    1.952210491    2.767248125    0.8392264346   0.4827215116   1.20806615     1.599352301    3.225887387    2.898402223    0.007749145367 0.8197467535   0.2261072134   0.5602592892   160.3594264    0.6595145406   1.514994283    
98       I1         1.365941496    1.591783969    4.222988627    0.9698528934   0.7724180491   1.696533584    2.944974689    1.010142733    1.900026215    0.02494057662  0.2043806205   0.2535399779   0.9353389364   170.9050409    87.77905176    0.7894887343   
99       I1         0.9314794921   2.493927199    2.726943377    0.2749906241   0.603556501    4.563016676    1.422243749    1.889093046    2.708681981    0.06655577807  0.9325268311   0.3263641291   0.4793081633   167.1766575    126.1124443    1.925343938    
100      I1         1.64120002     1.254938783    3.251077035    0.9169635703   0.5280954635   8.264963864    1.833273034    1.752707267    2.490738343    0.01428642571  0.9715734749   0.5833746732   0.06026135568  269.6307017    105.4088776    2.34552044     
101      I1         0.9821751427   2.25008588     2.815005329    0.2863724592   0.7113755041   6.59679333     1.252182926    2.812112862    0.6175020954   0.1010834324   0.3921622616   0.8381916018   0.3505532725   65.42132959    33.26497181    1.728255828    
102      I1         1.192182611    2.044425839    3.178457219    0.128473036    0.5927817656   2.505893795    3.265983532    1.163120034    2.672265654    0.1428582701   0.01544124633  1.013365467    0.2182301887   204.8705275    0.2913513949   1.808946587    
103      I1         1.452181115    1.527044211    3.788768941    0.5665403297   0.2375262317   6.399624598    1.624863909    1.41230151     1.412303302    0.01906561759  0.05708835829  0.05852071735  0.04624275164  229.0489333    17.71938863    2.518704019    
104      I1         1.382954783    1.206270639    4.154857191    0.9197970148   0.4161493205   7.105306752    2.434446248    3.165056853    0.6240287021   0.1228632358   0.8141121699   0.7298615936   0.8881882517   111.8500406    8.076307191    0.8946075909   
105      I1         0.3351591749   2.037781874    4.177968403    0.6923296241   0.4200881004   3.411606954    3.28839053     2.372001712    0.6741487004   0.05423469921  0.495322939    0.7393816866   0.5919784978   28.67558462    130.268939     1.771749696    
106      I1         0.5369019975   1.408394001    3.961198443    0.5788593947   0.5671904152   5.451772094    1.759161241    1.445902362    0.4140201693   0.01819411641  0.2445864514   1.036821093    0.09017622506  277.9148164    97.43128082    2.394856766    
107      I1         0.9177023502   2.559012186    4.371764867    0.368880236    0.6360603293   6.766951214    1.230063572    1.596049626    0.2804515957   0.1054369207   0.8555961149   0.3908779826   0.1495958804   18.38202065    27.50733569    2.288600096    
108      I1         1.182398971    2.50296565     4.360787384    0.8873828238   0.757544596    1.502057478    2.910332854    1.918856538    0.1646290686   0.07769191183  0.5107380099   0.4401104405   0.3208497516   181.1638105    85.221826      1.742313523    
109      I1         1.046500615    2.419043855    2.782108588    0.9664733799   0.964709477    7.064042437    2.005978744    1.804392924    2.652318065    0.1008911731   0.4887001888   0.8218045743   0.1624478025   94.54355977    28.54452556    2.018947462    
110      I1         1.361125029    1.629118409    4.172137493    0.9358103204   0.1985287257   7.751662791    1.457105575    1.123376182    1.122644765    0.04139225524  0.6308978677   0.9213707589   0.9640945785   21.00951398    13.89731165    1.21738202     
111      I1         1.911398778    2.030189091    3.756594181    0.4313628953   0.5109124987   1.845591962    2.145568572    1.565052783    0.9893905311   0.04160675816  0.3350055615   0.262631748    0.444442202    205.124101     127.2904598    1.602531277    
112      I1         1.340856682    2.204138346    2.761519739    0.333323562    0.1479898162   9.442576294    2.207458896    3.295816011    0.9142431876   0.1185475238   0.01717752512  0.2735667034   0.9094582602   162.0564938    51.25143799    0.7691418593   
113      I1         1.395449208    1.090962769    4.374703127    0.6520493137   0.1117894441   7.822289279    3.111064988    1.55805025     2.015472823    0.1402681041   0.07725017286  1.08980198     0.07663873572  186.0905655    4.739478522    1.964715739    
114      I1         0.8563423004   2.572289077    4.191135207    0.4583877322   0.4967438265   8.435700196    2.878425189    2.614833702    2.995874713    0.1242416246   0.02280561979  0.1274763176   0.139712712    27.37730888    123.459566     1.158635502    
115      I1         1.832347989    1.767639995    2.830048849    0.4257638904   0.1952555708   1.740474131    2.254161223    3.309157224    1.279573994    0.08636494781  0.8349517666   0.7261740688   0.63055957     113.7130625    44.15228467    1.038548586    
116      I1         1.956310536    1.850722746    4.43791119     0.4631838113   0.3294683232   9.199591692    1.914951077    2.645675003    0.3666023541   0.06248411691  0.1414861611   0.4022839764   0.222431331    48.83123796    103.1368655    1.982676166    
117      I1         0.4175703839   2.339796042    3.296963637    0.4929807404   0.6635464248   7.15887715     1.079653216    2.630120508    2.845804891    0.07035613676  0.8724405719   0.3668133987   0.2793754222   284.4541672    80.27729591    2.235878882    
118      I1         1.288003539    1.386281804    4.02533537     0.4191608878   0.5544699285   9.006293536    1.529097193    2.251663395    0.9992347471   0.1371659587   0.004016129291 0.9694561558   0.06917249198  235.2305553    136.8344032    2.375664842    
119      I1         1.479476688    2.103964652    4.297124512    0.1397966434   0.739563675    9.053510048    2.689356423    2.599396139    0.9633998653   0.1055837256   0.7651867261   0.9912279175   0.1176657103   139.9451964    143.6141922    1.932025778    
120      I1         0.3285586371   2.381482366    3.693600047    0.1060554789   0.3148766168   6.850141074    3.255199615    2.847355335    1.449594079    0.02367252021  0.927864727    0.314964723    0.7548947207   104.812645     149.914764     1.783418089    
121      I1         0.5420655705   1.368306792    3.373360849    0.3513967573   0.3380955784   9.218734886    1.392631896    2.945032852    1.892559692    0.0780507628   0.8611102106   0.8419477541   0.5955329305   193.6824665    56.38558225    1.76564333     
122      I1         1.937686949    2.37031698     2.906036344    0.6742736568   0.5429176497   3.215896412    3.050855004    2.804449675    1.199772967    0.1150772176   0.3059979655   0.09487647746  0.9560432777   238.735669     29.99310472    0.4649627338   
123      I1         0.9445149779   1.442057733    2.778552717    0.07396129374  0.6270359666   8.194513123    1.988513382    2.661461078    2.548837101    0.1197710798   0.447176046    1.016197314    0.462088485    97.037402      117.7160519    1.188435745    
124      I1         1.052531105    2.413440626    4.244486286    0.7558619954   0.6084285145   2.389447736    2.677983351    1.399156411    2.582573567    0.05482963097  0.341021806    1.131413042    0.06875949566  110.2345378    68.35344845    2.129732157    
125      I1         0.7724829562   2.267059179    3.060427032    0.8055794563   0.08285317218  2.183137175    1.326716649    2.508765513    0.6341572755   0.03197270155  0.02665023942  0.5903732351   0.7129004453   49.95307959    113.963999     1.852700867    
126      I1         1.373481817    2.112643846    3.113606452    0.8888690782   0.7193760053   0.8712048423   3.305645983    1.218294135    1.628918322    0.04370925764  0.2175653235   0.01425202926  0.125047812    38.46627458    108.4853363    1.801199554    
