%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil log__fdd_threshold snow_insulation_k f_tile_soil    log__tau_tile  recession_b    neg_kge        
11       I1         0.4792202012   1.684763754    4.284302384    0.6558531331   0.4617170534   7.623043751    1.946876391    3.35714094     2.029131928    0.06351993109  0.2062493005   0.06526305084  3.88650949     1.749400573    
12       I1         1.857817526    1.41831238     2.934513602    0.02088740981  0.02016356509  1.857627286    2.857879381    1.399156411    2.708681981    0.125998038    0.1749124521   0.01546111653  1.592455999    0.6750631138   
13       I1         0.4433185135   2.689725624    2.737443737    0.8202279181   0.1446908839   7.952141837    1.272784412    1.709532016    0.07604404791  0.05190840555  0.6195440022   0.2987330383   3.542318689    2.470228295    
14       I1         1.23714383     2.25008588     3.954929593    0.6160442773   0.9713532722   9.496401716    1.814968118    3.492610805    0.3088455682   0.0751875541   0.6909381389   1.078614063    1.649896673    1.741746469    
15       I1         0.4859222711   1.31261729     3.314757769    0.2674938073   0.172586491    6.48335404     1.349083296    2.752908861    1.530561141    0.001473324176 0.2586801996   0.5424133583   3.387693815    1.706795552    
16       I1         0.6741398318   1.042055073    3.006263884    0.768180211    0.6908226698   7.105306752    1.499940044    1.565052783    2.736030743    0.06340395858  0.341021806    0.05594325398  2.380803775    2.055655574    
17       I1         1.836356129    2.095049203    3.18661111     0.3027917464   0.4931008605   2.28079469     2.509368311    2.581485745    2.234202481    0.1456938673   0.9823118167   0.4572744249   2.462681975    1.722283098    
18       I1         0.6609580598   1.173806576    2.93227432     0.2506824008   0.5429176497   2.837997409    3.160608938    2.322506905    1.943815321    0.04370925764  0.8991011224   0.4881783571   2.164915861    1.897488235    
19       I1         1.479476688    1.231727704    4.095182904    0.7994510876   0.9190928976   8.334224322    1.014254631    1.943476169    0.1837551389   0.1408629351   0.04873912878  0.6330576843   2.791205625    2.128908021    
20       I1         1.531535246    1.588301778    3.653744343    0.8944457742   0.8255057529   9.719304767    3.479283269    1.004215911    1.240053757    0.07610004361  0.552580381    0.5637052009   3.8109618      1.59582819     
21       I1         1.275950592    1.015258679    3.845312261    0.4984778558   0.320086903    8.449250233    2.804740768    2.914440764    2.063724258    0.05423469921  0.9388413668   0.9540968227   3.02223114     1.608425765    
22       I1         0.6677877611   1.892177349    2.976308004    0.3703465277   0.7449829453   4.894030408    2.034118778    3.156081998    2.358554384    0.03121684823  0.8197467535   0.3721794296   2.34605738     1.895792651    
23       I1         0.4240566145   1.90839714     2.789409178    0.9844407052   0.5671904152   0.6846961195   3.010601391    1.215646383    0.8134176598   0.04671383839  0.3165357638   1.072461806    1.870793052    2.50857453     
24       I1         0.728718011    1.254938783    3.112754433    0.4085227492   0.633732568    3.558779445    2.824598703    1.485167692    2.917611902    0.1128200986   0.3921622616   1.010849081    3.208394975    1.137572131    
25       I1         1.434442838    2.339796042    3.756594181    0.8970061838   0.3787398946   9.604909417    1.313900634    2.271710607    1.526596236    0.1308392336   0.8531379856   0.6076613037   2.638703925    2.022191427    
26       I1         1.636678545    2.391765973    3.639907075    0.1946010934   0.9077946181   6.409110143    2.076376343    2.151304808    0.5531455319   0.004240033761 0.7651867261   0.3341978313   2.975100172    1.630678028    
27       I1         0.4360475337   2.50296565     3.805383155    0.0903694521   0.1790726062   9.807148281    3.047077183    3.466391752    2.814390404    0.07204856641  0.3623437924   0.6272877377   3.625144075    0.5875077119   
28       I1         0.3734655823   1.327864414    3.427281611    0.6396962211   0.685109752    2.183137175    3.028973259    2.778143438    2.606132663    0.07477713693  0.05292350722  0.6833664785   2.313871523    1.487026682    
29       I1         0.872472806    1.67081122     3.979006456    0.3637232882   0.9830281785   3.302655049    3.169229962    2.292174524    1.765927174    0.1280895555   0.2311654336   0.8419477541   3.985963467    0.860663259    
30       I1         1.622287052    2.066444463    2.872825091    0.7362907138   0.3073840553   0.5941868708   1.819137968    1.705191541    1.564860849    0.04547109463  0.6653744651   0.834647728    2.806819046    1.80274914     
31       I1         0.6501714999   2.594591468    4.028099965    0.5006140939   0.2576233267   0.275446016    2.613947314    3.208521763    2.595281567    0.04983819246  0.9187269618   0.8006618668   3.951490026    1.879652402    
32       I1         0.9177023502   1.283147972    3.752344211    0.3617429562   0.4023888976   8.538878684    2.287974566    2.890309826    0.513162095    0.1428582701   0.7438315724   0.4341630877   3.257767465    1.555659078    
33       I1         0.9821751427   1.930591487    3.084757358    0.3419970723   0.6396143959   9.053510048    1.340808712    2.907393981    0.3350078173   0.04593195816  0.7031338404   0.7212247057   2.903722676    1.89944454     
34       I1         0.6296351808   2.35817213     2.955537223    0.2729217598   0.4780046208   0.1747179927   3.111064988    2.229120089    1.685981404    0.0209033312   0.8797155547   0.8733432083   1.573832843    1.936772345    
35       I1         0.4479365181   2.694562258    3.45754666     0.2528676024   0.2956648772   0.6281363281   1.134577945    2.343669545    1.317874553    0.08294121817  0.6526310805   1.116967097    1.962340426    1.882142179    
36       I1         1.250014581    1.850722746    3.27268924     0.4832078674   0.9023741      3.812652926    3.322483215    2.812112862    0.1728613688   0.1062882391   0.5415207722   0.3757910895   3.849795601    1.238750587    
37       I1         1.564016217    2.51442489     2.674299496    0.09380691351  0.607010724    4.45813412     1.939175983    1.767285865    2.516544502    0.05745063693  0.002125661106 0.01425202926  2.32112887     1.027318668    
38       I1         0.6218146609   1.985846631    3.100025495    0.3140481537   0.5475262182   0.3582731703   2.622931498    3.285560582    0.04195670478  0.06861770388  0.6246113314   0.5859328164   1.941118919    1.727965459    
39       I1         1.404016156    2.298393316    2.767248125    0.282446083    0.2484786123   9.121403494    2.301125446    3.433414177    1.997537949    0.05968760058  0.03841002418  1.08980198     2.235443568    0.6687280679   
40       I1         1.979905971    2.175444903    2.599265732    0.2011009297   0.1081480773   8.158161341    1.14470054     3.252977327    0.5220467322   0.1120714863   0.7601287709   0.9774526841   2.227382641    2.138125289    
41       I1         0.519434217    1.57146601     4.166435226    0.5665403297   0.2271843178   6.440097854    2.154174786    1.918856538    2.672265654    0.1098117906   0.471523116    0.2242835248   2.27726076     1.611985568    
42       I1         0.3351591749   2.27527896     3.385764139    0.05397155562  0.6961344583   9.174741589    1.752894144    2.841516475    0.5020564354   0.02616645316  0.1278751251   0.5737659949   3.491991301    1.130051915    
43       I1         1.712625696    1.511267464    2.641115736    0.3947952275   0.2602711335   4.999514334    2.279363941    1.496207623    1.00504669     0.1430094005   0.8058890748   0.13952398     1.688896714    1.611096659    
44       I1         1.406987481    1.457724002    4.374703127    0.9014394052   0.8969460614   9.199591692    2.047124486    1.419699664    2.860723638    0.1275981833   0.3675031514   0.8274860774   2.927030365    1.69447972     
45       I1         0.973829551    2.600075591    3.809025626    0.2137834302   0.3475140804   5.385674145    1.718019718    1.856161031    0.6646595126   0.08160294685  0.1067902611   0.6865957214   3.232841936    1.181728284    
46       I1         0.6401521459   2.049813049    3.617691695    0.7065912886   0.6802152624   7.407846489    1.222673888    2.769704454    2.793254625    0.06171436336  0.4546517614   0.8567651606   2.486471349    1.997163049    
47       I1         0.4976089969   1.072841677    3.068165516    0.1397966434   0.4123488404   2.34359497     2.940504265    1.133351342    1.174228981    0.01093511097  0.696974291    0.1644694422   2.773493479    1.882273891    
48       I1         1.13489634     2.201317947    3.217801873    0.7660642874   0.8500911906   8.654259139    1.529097193    3.030054494    2.975608582    0.1353491659   0.8006483691   0.1274763176   2.867258506    1.913331534    
49       I1         1.79550917     1.867335465    2.635728609    0.2578996488   0.4473012554   8.818446818    2.518181823    2.945032852    1.655546048    0.1325819701   0.9488494461   1.045072957    2.751175865    1.690801987    
50       I1         1.182398971    1.901955297    2.925289364    0.7102397642   0.1849948652   6.52304944     1.687508881    1.912816022    0.6588449378   0.1442139979   0.4830883087   0.1351302693   3.03116045     1.745068685    
51       I1         1.614376697    1.618783662    3.606658393    0.8287151901   0.1628758786   8.13962312     2.406973527    1.332235892    0.1460163767   0.0824173819   0.1366489505   1.013365467    3.070244398    1.542512511    
52       I1         0.9059262998   2.024418459    4.357918419    0.2997027545   0.8857831008   7.187073331    3.462024267    1.582097928    2.652318065    0.007066478667 0.518489786    0.2664644332   2.136040077    1.192985658    
53       I1         1.200518864    1.138117183    4.218569711    0.1752551528   0.6156617733   2.073431759    1.026485822    1.881122969    0.9031442155   0.1106680755   0.5564634849   0.2457535566   2.41410094     2.020765556    
54       I1         1.126024947    1.124789684    4.421940351    0.5617577824   0.1659209448   7.652579117    2.229634502    2.251663395    1.815467744    0.03044819267  0.3059979655   0.3668133987   2.993706455    1.306239671    
55       I1         0.460359321    2.477854227    3.941439147    0.8179985224   0.1250539843   1.544169539    2.099260682    3.186761642    2.213864202    0.1237067563   0.8398663657   0.1153251592   3.473643491    2.2499618      
56       I1         1.701964074    1.648557062    4.48415467     0.8096779854   0.5694610568   1.177112345    1.563766349    2.426668627    2.015472823    0.1391388247   0.4224313246   0.9963729358   3.400241634    1.934662619    
57       I1         0.5489412889   2.499003633    3.968111588    0.7599331456   0.805928482    3.665753972    1.379363737    1.090845919    1.255691351    0.02302040809  0.8033464292   1.065014232    2.015712345    2.11829434     
58       I1         1.062583374    2.419043855    2.782108588    0.03599679946  0.7502055389   1.989780196    1.132762913    1.289431211    1.833492953    0.01594580139  0.3840404485   0.6457519393   3.695772657    1.906073151    
59       I1         1.131380639    2.61158016     4.360787384    0.5475402506   0.6515158266   1.149210547    1.249022616    3.179087037    2.085681477    0.1246364786   0.5872493791   0.04526144663  1.723105111    1.985918939    
60       I1         1.335763744    1.550618968    4.04804838     0.8532681676   0.9466801024   2.777260348    2.706674091    2.063953377    0.9403590634   0.1137279516   0.2175653235   0.07879512173  2.551156967    1.500094164    
61       I1         0.7357388406   1.100195685    3.326822502    0.7643935641   0.4484366104   1.447753494    1.570159858    2.423435512    1.844383773    0.02946190949  0.6953595818   0.5903732351   3.366325752    2.094467839    
62       I1         1.751218561    1.259956569    3.516151248    0.8496504772   0.3632845532   9.442576294    2.418465654    2.107063431    1.03196887     0.1402681041   0.2185035031   1.112661333    3.992629918    1.612454789    
63       I1         0.6098356177   1.875005895    2.576428011    0.7782062663   0.3294683232   6.315550258    1.286243391    1.743068374    1.505656796    0.08704796234  0.1192192009   1.119814831    2.846034685    2.166203       
64       I1         1.040563043    2.133923259    4.006081118    0.1094647061   0.5517586627   5.787673809    2.903199835    3.139612559    0.1646290686   0.02710504355  0.8116917511   0.283776735    3.582535293    1.463786942    
65       I1         1.589566797    1.995419009    4.432868669    0.7262102806   0.8223547415   1.010521473    2.009567014    3.473491156    0.4602341427   0.1228632358   0.6849521549   0.05852071735  2.336730052    1.794534603    
66       I1         1.254082153    2.141465459    2.830048849    0.2398713653   0.1177522271   4.78116836     3.388996575    2.469416308    1.016379546    0.04040964973  0.08557519204  0.1473948366   2.122200525    0.5332480967   
67       I1         0.3949104709   2.578719527    3.296963637    0.3820957175   0.220584488    1.373626406    2.110244726    3.396018735    2.446413041    0.1366588445   0.04246964193  0.162632216    3.681525456    0.9767201643   
68       I1         0.8352697815   2.153882841    3.63207404     0.3579996258   0.2851235629   3.940408519    2.0700329      2.411801312    0.6070820903   0.006428487063 0.07725017286  0.5656072529   2.096267133    1.150252017    
69       I1         0.3540151082   1.425525521    3.951384311    0.1448942896   0.653742217    8.584118857    1.237292771    2.45213507     1.859912751    0.1389040954   0.5926809991   0.01946782242  1.520196835    1.765213434    
70       I1         1.956310536    1.061946202    2.621126085    0.05106478175  0.3617422335   1.040583558    1.636511103    2.599396139    0.7214708024   0.0135951224   0.6582923944   1.055033212    2.019936738    1.889546614    
71       I1         1.559430362    2.572289077    3.839459706    0.9197970148   0.459415704    5.939641469    2.108004096    1.663844808    1.749542058    0.1316046103   0.7945921281   0.4252247344   1.582605547    1.805185397    
72       I1         1.117992494    1.740200609    3.349998568    0.08532162429  0.2025505396   2.089410644    2.664880824    3.119847745    1.911208769    0.06286047971  0.5347269965   0.5716126027   3.794536378    0.9388379766   
73       I1         0.4057035626   1.310918435    3.584868323    0.6112363957   0.1214055083   8.960502068    1.360166142    3.074190922    2.129938298    0.05588835453  0.5107380099   1.128340904    1.85956591     1.890480818    
74       I1         1.578140663    2.37031698     4.02533537     0.9805095429   0.7171644045   9.929435802    1.460551876    2.114067419    0.6458957316   0.0958065265   0.2279536292   1.058237016    2.209084345    2.007357422    
75       I1         0.4301140715   2.215010462    3.992164059    0.6350235686   0.2666295428   5.736727176    1.553425089    3.084076775    1.089597189    0.06649909936  0.01717752512  0.4627369264   1.89425521     1.708826898    
76       I1         0.6263816946   1.975972814    3.190784844    0.1985720714   0.2176088771   0.701920532    1.259489469    2.701188449    1.301686357    0.07882172853  0.3350055615   0.3593809626   2.776179089    1.818415457    
77       I1         1.315604476    2.106105563    3.593232741    0.2053694139   0.622309483    4.247479126    3.223977752    2.504812524    1.115973053    0.01653220019  0.06079210122  0.5516729922   2.243780069    0.5641313386   
78       I1         1.389904313    2.030189091    3.401677843    0.5167904168   0.1376139005   2.653942694    2.017939144    1.053804211    0.9893905311   0.05072073839  0.6085988422   0.4716929537   1.900651794    1.555277109    
79       I1         0.4689079693   1.010688332    2.895061716    0.4393065005   0.9379771955   2.891081887    2.207458896    2.804449675    1.495739404    0.1080760097   0.3501311226   0.4743734253   3.13107459     1.596263342    
80       I1         1.722002096    2.590534515    4.297124512    0.9033250825   0.08285317218  1.323055332    2.375909093    3.278161532    0.3761069066   0.04463007965  0.707761762    0.02840962553  3.115326293    1.737720906    
81       I1         1.690483718    1.846727143    3.164319841    0.3091048798   0.2087928288   4.563016676    3.451758046    2.719632103    0.7163071701   0.09491497111  0.5121776273   0.1953837391   3.435515515    1.215064269    
82       I1         1.492923017    2.318754595    4.20024087     0.5227558373   0.06031807634  9.36699869     3.297357431    2.069432619    1.958958951    0.07590941373  0.0312338462   1.083296017    1.698596483    1.017444237    
83       I1         1.860860465    1.686736869    3.056453917    0.9752273023   0.01152641849  3.506294406    2.18375314     3.049013371    0.0002912862599 0.0780507628   0.9692342289   0.4380364683   2.649524357    1.804607138    
84       I1         0.9744128914   1.919140271    2.725188637    0.3438077843   0.8820383405   0.9572361427   1.73296427     2.684188337    1.47710421     0.1486411353   0.8897819682   0.6568268225   1.849220469    1.914653751    
85       I1         0.600299416    1.522818988    2.996022772    0.7351553244   0.5312512202   8.435700196    2.847176678    2.014075479    0.6858213624   0.1206147644   0.7389811265   0.2735667034   2.255373669    2.055872929    
86       I1         1.081726666    2.353332986    4.037871506    0.7772854328   0.3931840479   0.7424392947   3.233827472    1.669988901    0.1379623481   0.03426764579  0.3744266232   0.4981746879   3.314298632    1.53731327     
87       I1         1.280854117    1.763486224    3.325752487    0.4033144509   0.7516442785   5.656863288    3.243481794    2.186886715    0.976695209    0.002437925889 0.9342578822   0.494073817    3.147372096    1.590606608    
88       I1         0.7603459946   2.282828503    3.903464658    0.3961759723   0.6121861275   6.043796498    1.982777018    1.274803476    2.582573567    0.08656574509  0.5322708648   0.6197034382   3.858062929    1.434074836    
89       I1         1.80468192     1.527044211    3.491418829    0.2626567102   0.05784624219  5.451772094    1.607700684    1.811590931    1.220426095    0.07719453959  0.8464759959   0.1044588344   1.541070716    1.939621075    
90       I1         0.7957480231   1.146068176    3.898699169    0.08187029442  0.9584592573   3.177402617    2.759534361    2.148916167    2.222688617    0.01875188768  0.3983317935   0.3999579996   1.622978661    1.007088838    
91       I1         1.244751552    2.333158098    2.693563229    0.8392264346   0.4753711493   0.3973248431   1.759161241    2.331733285    2.362576559    0.1119050489   0.678096566    0.9357045396   3.523792352    1.876296589    
92       I1         0.5937185563   1.340093733    4.25617578     0.07396129374  0.10346091     1.957400108    3.368082352    1.759287404    2.728142416    0.1150772176   0.5043914338   1.041736039    2.305929541    0.9199446135   
93       I1         1.600285292    1.109985789    3.721320857    0.7246198575   0.09428000369  5.774861325    2.484000237    3.039884572    1.791609941    0.06071407926  0.3224624452   0.0743784755   1.994258574    1.475703931    
94       I1         1.901462023    1.783104062    3.474362922    0.1060554789   0.6084285145   8.264963864    3.006983899    2.131057701    1.380947417    0.007749145367 0.2710083945   0.1851418663   1.636331582    1.03802325     
95       I1         0.3677524232   1.545416253    4.154857191    0.6853682706   0.979447786    4.447244152    1.500558745    1.405590614    1.759763486    0.09652084515  0.4565617958   0.1001105378   2.839813746    2.088752544    
96       I1         1.775966423    1.1350667      3.554404698    0.7479293057   0.02848347457  6.710055755    2.709937443    3.382472829    2.637092678    0.05003656804  0.895426609    0.3565176298   3.236282842    1.682739605    
97       I1         0.3902345162   2.007974284    3.938366512    0.2749906241   0.537096675    3.042521913    1.624863909    2.242980294    0.4385629533   0.07059676391  0.04964967959  0.5134655408   3.334429754    1.397709526    
98       I1         1.518732135    2.673454282    3.424068791    0.9243459712   0.4067010932   6.352420219    2.728328268    3.418092523    0.892350809    0.05294715854  0.1646090425   0.1540269885   3.654770781    1.573303245    
99       I1         0.5369019975   1.833095461    4.207658737    0.1681824529   0.2644768829   9.082364385    3.428614514    2.533601941    1.628918322    0.02040475474  0.3554390408   0.7980652064   1.76045772     1.093421121    
100      I1         1.324356168    2.637878489    3.042674409    0.127562032    0.7329755853   9.990094479    2.677983351    2.990559283    2.485412466    0.08887611026  0.9838794869   0.412084686    3.674667533    1.622408326    
101      I1         0.7999073836   2.081967787    3.03283948     0.07736213041  0.6889461185   9.548449799    1.155739705    2.489953605    1.886483438    0.1069808297   0.4295537466   0.5493153364   2.089987867    1.719480678    
102      I1         0.9445149779   1.090187553    4.012869763    0.9485655461   0.6994658029   7.789316642    2.342573154    2.591336595    1.861238947    0.008250753537 0.4594538047   0.3180429239   3.320895593    1.789769024    
103      I1         0.5744913194   1.024249216    4.440692207    0.4961993767   0.1065470813   5.567548951    1.354347043    1.633826458    0.346218052    0.1421229846   0.2773856499   0.5352663687   1.604434076    1.737323764    
104      I1         0.4175703839   2.191445607    3.006847077    0.6646589952   0.827400762    8.935380853    1.865408501    2.262460035    2.744575367    0.07136475909  0.7226786449   0.6152628807   2.050414991    2.082985338    
105      I1         1.046500615    2.619524521    4.222988627    0.6318941159   0.7659888071   7.751662791    1.428436597    2.378034994    2.874793484    0.07769191183  0.5897202163   0.9599295013   3.752963711    1.804824575    
106      I1         1.373481817    1.816862121    2.518656767    0.588488354    0.07391524674  7.516776562    2.795801305    1.281118921    2.26324263     0.08755759121  0.07074815394  0.3540794997   3.207778083    0.9609938919   
107      I1         1.557081237    1.865102614    4.469608268    0.333323562    0.4387943063   9.006293536    3.210067409    1.619660636    1.595197944    0.009597835542 0.411158342    1.036821093    1.741127043    1.28092353     
108      I1         1.784835303    2.381482366    2.824612651    0.9462985109   0.2682707875   1.231381987    2.065274884    2.392343823    2.152566392    0.01342087327  0.563570166    0.4536963683   3.860558511    1.797577847    
109      I1         1.266159008    2.512240563    3.530301182    0.1134234945   0.8178788364   7.027733153    1.675449878    2.217505176    0.02365816283  0.08636494781  0.679934201    0.9694561558   3.189043623    1.591857888    
110      I1         0.6729906473   1.034365161    4.382333396    0.4257638904   0.1413102393   1.458145766    1.930685724    2.352832246    2.097161762    0.01214857946  0.2259792969   0.9213707589   1.824749299    1.373693718    
111      I1         1.931563387    1.702042258    2.841873065    0.1241161824   0.6796230876   0.9222992184   3.205029226    1.41230151     0.2780170959   0.1192409367   0.1842874824   0.885941132    1.661794138    0.9551673962   
112      I1         1.452181115    2.056057473    3.717211402    0.5748104646   0.3533398499   5.371052394    2.131953858    1.645028268    2.710810701    0.09170936322  0.823001159    1.145423264    2.762669628    1.627193053    
113      I1         0.9537959759   1.43332527     4.278076749    0.9795582233   0.7193760053   1.393663158    2.898298667    2.030857783    0.3103863271   0.09267348606  0.647013944    0.03642676019  1.984022881    1.827509706    
114      I1         1.415755904    1.063528064    2.510864016    0.1569038732   0.4852475744   8.49266892     1.441605389    1.315299118    2.181265619    0.0854542716   0.1054254451   0.7718116973   3.098889227    1.577026774    
115      I1         1.881864559    2.538197415    2.528631855    0.7909367982   0.4302886432   7.662693208    2.390442615    1.173553491    1.9830616      0.0360004772   0.2649223097   0.1510386529   2.193730349    1.608146182    
116      I1         0.5144262091   2.529878567    4.353231216    0.1861942359   0.2448017307   7.283779674    2.332507761    2.630120508    1.772981264    0.1165262047   0.8305988256   0.8546714024   3.379531097    1.636219088    
117      I1         1.012847891    1.157178291    3.306796818    0.5699990112   0.3331156004   6.266903658    1.951766702    2.850472546    1.1564665      0.01004592647  0.5812672276   0.8381916018   2.950669414    1.615797072    
118      I1         1.459552999    1.029610094    3.156802105    0.6090147236   0.136307493    0.241138325    3.265983532    3.113128373    0.4781242995   0.08098445679  0.8748816616   1.094542369    3.107193725    1.595497337    
119      I1         0.408544849    2.522935073    3.868783827    0.4156345467   0.06784710513  3.614292698    2.477539512    1.010142733    2.643758823    0.1464069829   0.752229739    1.123694287    2.881288829    1.593558163    
120      I1         1.870099175    2.254104281    2.863239585    0.6817590328   0.2156810159   1.57776624     1.111029395    2.172766012    0.2290742574   0.06531004145  0.4777863327   0.1210841585   3.327000518    2.159547814    
121      I1         1.618362611    1.090962769    4.13262006     0.9125552918   0.5056121611   1.683142635    3.359789056    1.515243163    1.168346617    0.1045452884   0.2815096692   0.2305507164   3.57415326     1.594385724    
122      I1         0.9621420747   1.448917371    2.741246095    0.6251937004   0.9142553178   1.113506027    2.689356423    1.971433464    0.5971889914   0.1336561882   0.1173897047   0.7248481562   2.609963524    1.351142337    
123      I1         1.221021649    2.382780579    3.373360849    0.2345873294   0.8689908005   1.63161365     1.184937914    2.442475446    1.352460325    0.09956963832  0.2347541286   0.8670828814   2.475065763    1.84781342     
124      I1         0.3830346702   1.855932989    3.692109568    0.2944660222   0.06917312631  6.124559585    2.088695206    2.49836251     1.612409251    0.04777418505  0.9443787549   0.6404883219   3.164632908    2.072755726    
125      I1         1.303370076    2.037781874    4.478762658    0.2175845276   0.7943040718   0.5155318816   1.53496941     1.789755191    1.963028152    0.03280953308  0.4091995487   1.069116391    2.662780131    1.642700605    
126      I1         1.288003539    1.705854979    4.105667461    0.2099069187   0.1685791455   9.767570232    1.97242533     1.080440081    0.564990436    0.1031327975   0.4786041716   0.9578226726   2.672928528    1.305493845    
127      I1         1.444278275    1.290716929    2.57275019     0.9569122946   0.4965381045   4.529884387    2.354394372    2.463793211    0.9633998653   0.0952510559   0.7320716377   0.7114984246   3.63343177     1.660292971    
128      I1         0.7074897604   1.749257324    2.888551602    0.4528106755   0.191096213    0.8712048423   1.317125486    2.87656138     2.42644469     0.1285822193   0.3806754829   0.3090225231   2.384157535    1.937449318    
129      I1         1.474533859    2.013724513    3.13492306     0.368880236    0.2464161253   6.850141074    3.120410618    2.797410481    0.9142431876   0.129995887    0.1095229231   0.0830471984   3.740276152    0.749069685    
130      I1         1.973053607    2.559012186    3.732907637    0.4360845678   0.7228376675   6.296109337    1.833273034    3.359483351    0.9992347471   0.003060217119 0.9659103954   0.5008630138   1.650950235    1.974716732    
131      I1         0.7856290043   1.248939516    3.510254339    0.2934147745   0.7113755041   2.770534601    2.826130043    2.763348196    1.059339671    0.06764849255  0.144240162    0.381971943    2.697214702    0.8660448934   
132      I1         1.608771412    1.675837711    3.735029668    0.9169635703   0.836560833    1.813236371    1.490517732    2.080113807    2.845804891    0.004566311434 0.04361572623  0.6053278961   2.041916661    1.959977174    
133      I1         0.4304851418   1.717746796    2.851202478    0.179527658    0.1739787854   3.090635965    1.305595537    2.372001712    2.34262518     0.1220759204   0.927864727    0.7714309101   1.982600086    2.047561977    
134      I1         1.51752088     1.116056146    3.984371269    0.9664733799   0.757544596    3.745943433    3.147121145    1.937153458    2.330326683    0.1038362538   0.07284713712  0.2572107485   2.406148614    1.637063708    
135      I1         0.4552595495   2.462764673    4.125732872    0.1156888522   0.5565208168   6.175578454    3.498405599    2.28910495     2.935511844    0.0562985517   0.2915476235   0.5949534802   3.624615988    0.7374378129   
136      I1         0.5625116465   1.563813263    4.191135207    0.7860742005   0.964709477    6.01519677     2.02915257     1.351512375    1.455732553    0.1491861014   0.539572615    0.4287696594   1.83449458     1.92310187     
137      I1         0.9154537974   2.23575481     3.778708329    0.3534372038   0.5185026592   4.410688445    3.305645983    1.522777782    2.690667852    0.1200997495   0.4139036508   0.9438602334   2.541597037    0.9789350496   
138      I1         1.446335508    1.469167139    3.223508307    0.676848485    0.8604976298   0.7839750314   1.457105575    1.989544108    0.8227041851   0.01819411641  0.6159562813   0.8628148921   2.105715246    1.94294739     
139      I1         1.177159204    2.29651723     2.885188013    0.06244660579  0.9527122088   1.740474131    2.214667896    2.086015148    1.412303302    0.04897151453  0.1493974259   1.026746321    1.888897455    0.7124247143   
140      I1         0.5874682381   1.664203842    3.526345781    0.07903790755  0.2999623596   2.534502614    2.917057999    2.96108724     1.122644765    0.131152837    0.01076259456  0.7822098167   3.199608483    0.5072490808   
141      I1         1.026046435    2.180520308    3.819235255    0.3240121076   0.8435021733   7.375963574    1.988513382    2.621275583    1.424638829    0.1181960738   0.8840465798   0.2361322118   3.510338588    1.708696924    
142      I1         0.5570628343   1.382261558    3.229890596    0.4751500174   0.6631821369   5.870925088    3.128904574    1.602324691    0.793043185    0.1375507988   0.09845278927  0.3908779826   1.917204161    1.378144495    
143      I1         0.9241843732   1.338449556    2.726943377    0.594645732    0.2098740821   8.799554718    1.671585959    2.572149963    0.06471579987  0.05482963097  0.6012892504   0.5082892904   3.562750106    1.822355253    
144      I1         1.382954783    1.266991593    3.304219489    0.5146411477   0.3909964414   4.365068302    1.230063572    1.616562279    2.408827111    0.09306579411  0.6380033089   0.9912279175   2.706455547    1.962351091    
